NUMRESERVA,IDALOJAMIENTO,DIARESERVA,TIEMPODIAS
1,85,2020-08-18 21:43:50,2
2,37,2020-08-09 05:10:09,2
3,58,2020-08-29 12:03:19,4
4,12,2020-08-24 11:14:53,4
5,20,2020-08-11 00:21:40,4
6,35,2020-08-07 04:33:53,2
7,97,2020-08-01 04:33:46,3
8,66,2020-08-07 18:58:11,2
9,51,2020-08-07 00:28:07,3
10,36,2020-08-08 18:37:42,2
11,55,2020-08-11 02:35:16,2
12,72,2020-08-12 06:15:04,3
13,53,2020-08-13 01:17:30,3
14,67,2020-08-10 10:09:11,1
15,52,2020-08-08 20:09:23,1
16,31,2020-08-13 23:01:17,2
17,96,2020-08-01 23:19:10,5
18,97,2020-08-25 03:29:54,3
19,4,2020-08-11 12:08:17,5
20,81,2020-08-23 22:51:08,4
21,83,2020-08-12 11:54:50,3
22,94,2020-08-03 22:03:31,2
23,86,2020-08-06 10:03:50,1
24,7,2020-08-08 23:29:14,2
25,37,2020-08-04 23:50:22,4
26,8,2020-08-18 11:51:22,1
27,46,2020-08-06 13:39:25,3
28,90,2020-08-13 09:38:30,4
29,87,2020-08-09 09:24:19,5
30,49,2020-08-26 03:26:48,3
31,61,2020-08-22 16:21:45,1
32,95,2020-08-01 00:12:03,2
33,44,2020-08-06 16:25:52,2
34,22,2020-08-12 13:49:11,5
35,52,2020-08-05 20:44:24,1
36,12,2020-08-10 13:31:17,3
37,12,2020-08-05 23:47:25,5
38,50,2020-08-06 09:52:06,3
39,52,2020-08-15 06:48:43,5
40,4,2020-08-23 18:06:49,2
41,21,2020-08-11 17:55:32,2
42,85,2020-08-30 17:46:27,4
43,19,2020-08-07 17:53:14,5
44,89,2020-08-07 00:13:02,1
45,67,2020-08-27 20:03:50,2
46,20,2020-08-23 10:47:38,3
47,17,2020-08-08 01:10:37,1
48,57,2020-08-24 13:18:49,4
49,19,2020-08-10 03:53:11,2
50,9,2020-08-30 04:58:50,4
51,18,2020-08-27 15:08:17,2
52,69,2020-08-18 00:57:13,1
53,33,2020-08-20 16:37:18,1
54,19,2020-08-04 03:21:25,2
55,18,2020-08-19 23:03:22,2
56,83,2020-08-02 21:57:09,3
57,21,2020-08-07 13:44:57,1
58,91,2020-08-28 14:57:00,4
59,40,2020-08-19 09:03:42,1
60,95,2020-08-26 10:07:18,5
61,92,2020-08-13 18:51:56,2
62,32,2020-08-17 10:49:48,2
63,51,2020-08-29 22:59:40,2
64,6,2020-08-20 10:56:39,4
65,17,2020-08-15 12:24:55,3
66,92,2020-08-26 06:54:42,2
67,97,2020-08-17 01:29:51,2
68,55,2020-08-18 17:29:11,4
69,68,2020-08-13 20:19:01,1
70,71,2020-08-18 06:10:05,3
71,100,2020-08-06 01:38:51,5
72,13,2020-08-26 03:23:10,1
73,98,2020-08-20 14:52:33,3
74,1,2020-08-30 05:36:15,1
75,97,2020-08-29 19:00:58,2
76,46,2020-08-27 19:43:30,5
77,77,2020-08-03 12:48:07,5
78,21,2020-08-11 08:20:57,4
79,53,2020-08-27 23:57:25,5
80,77,2020-08-20 10:54:14,4
81,39,2020-08-17 00:39:58,5
82,92,2020-08-11 17:06:48,3
83,52,2020-08-01 12:27:30,1
84,4,2020-08-10 23:52:03,1
85,32,2020-08-04 03:34:18,5
86,81,2020-08-15 23:18:12,4
87,5,2020-08-14 10:54:00,4
88,96,2020-08-29 17:07:02,1
89,51,2020-08-12 20:34:32,4
90,22,2020-08-07 22:20:57,1
91,81,2020-08-11 15:15:14,5
92,42,2020-08-11 22:27:42,2
93,89,2020-08-02 17:03:44,5
94,95,2020-08-27 02:28:44,5
95,50,2020-08-21 18:47:26,4
96,46,2020-08-02 18:31:23,3
97,37,2020-08-05 22:50:21,2
98,3,2020-08-19 18:32:34,3
99,73,2020-08-01 16:00:19,4
100,61,2020-08-26 05:32:49,2
101,62,2020-08-22 23:13:13,4
102,94,2020-08-30 00:57:14,4
103,66,2020-08-08 19:24:48,4
104,87,2020-08-13 10:19:36,5
105,98,2020-08-15 05:43:55,1
106,70,2020-08-12 04:47:26,2
107,37,2020-08-05 08:40:06,2
108,15,2020-08-14 04:24:53,1
109,37,2020-08-21 05:42:11,5
110,77,2020-08-26 04:07:24,5
111,31,2020-08-28 09:28:54,1
112,56,2020-08-04 11:38:17,4
113,94,2020-08-02 17:05:15,1
114,11,2020-08-08 02:30:33,3
115,44,2020-08-13 02:42:10,3
116,71,2020-08-23 01:36:02,2
117,3,2020-08-02 04:28:32,1
118,92,2020-08-09 01:23:14,5
119,56,2020-08-14 19:35:12,1
120,31,2020-08-30 18:32:36,3
121,20,2020-08-07 22:06:39,2
122,54,2020-08-27 02:46:42,1
123,2,2020-08-29 07:53:40,4
124,94,2020-08-17 04:13:42,4
125,48,2020-08-25 02:56:06,2
126,56,2020-08-26 20:53:07,4
127,29,2020-08-15 20:19:39,3
128,77,2020-08-04 11:41:59,5
129,27,2020-08-14 08:55:10,4
130,39,2020-08-17 08:26:21,3
131,17,2020-08-03 12:07:01,1
132,51,2020-08-02 20:49:27,2
133,94,2020-08-04 20:41:51,3
134,72,2020-08-14 02:57:01,5
135,75,2020-08-29 03:37:20,3
136,8,2020-08-26 21:33:01,3
137,39,2020-08-05 16:17:11,5
138,17,2020-08-03 07:43:00,4
139,55,2020-08-03 21:14:45,5
140,12,2020-08-23 02:27:00,5
141,80,2020-08-05 13:16:37,5
142,99,2020-08-08 14:47:29,3
143,72,2020-08-22 06:23:37,2
144,100,2020-08-20 08:52:25,2
145,67,2020-08-02 20:34:00,4
146,96,2020-08-11 01:18:31,3
147,6,2020-08-01 13:58:00,1
148,16,2020-08-13 11:44:08,3
149,93,2020-08-02 18:27:03,1
150,11,2020-08-15 12:52:08,2
151,23,2020-08-18 20:41:24,4
152,28,2020-08-15 09:40:23,5
153,67,2020-08-30 10:26:43,3
154,24,2020-08-01 04:29:15,5
155,69,2020-08-03 09:11:27,1
156,96,2020-08-20 02:06:14,3
157,21,2020-08-11 21:07:35,3
158,48,2020-08-26 20:30:41,5
159,51,2020-08-07 21:55:04,3
160,25,2020-08-28 23:07:11,5
161,72,2020-08-25 01:50:22,5
162,15,2020-08-08 22:02:31,5
163,37,2020-08-09 12:37:39,3
164,9,2020-08-13 10:22:31,4
165,46,2020-08-15 17:48:06,5
166,87,2020-08-10 00:10:28,3
167,74,2020-08-19 09:16:49,1
168,69,2020-08-23 11:07:30,3
169,44,2020-08-28 07:06:51,5
170,10,2020-08-27 02:35:34,3
171,34,2020-08-19 21:03:31,2
172,65,2020-08-10 03:04:53,3
173,95,2020-08-09 20:30:36,4
