ID,IDOPERADOR,PRECIO,FECHAINICIODES,FECHAFNDES
10261,1341,60097,,
10262,1352,169763,,
10263,1003,88584,,
10264,875,139451,,
10265,855,92714,,
10266,800,93640,,
10267,1578,141856,07/04/2020,02/07/2020
10268,56,186873,,
10269,630,178042,01/05/2020,31/05/2020
10270,1815,161926,,
10271,1936,79952,,
10272,1917,189505,,
10273,503,165997,,
10274,1982,125525,,
10275,1009,36819,,
10276,780,117632,,
10277,1730,128650,,
10278,1894,74268,,
10279,1917,92864,,
10280,519,112550,,
10281,1870,191172,,
10282,1284,88480,,
10283,154,85640,,
10284,1794,42420,,
10285,1851,40226,,
10286,422,108453,,
10287,1558,105665,,
10288,333,162125,,
10289,189,158973,,
10290,1246,112562,,
10291,400,61131,,
10292,457,161471,,
10293,210,132185,,
10294,480,165011,21/04/2020,29/06/2020
10295,255,174277,,
10296,243,103756,,
10297,883,93175,,
10298,1159,179358,,
10299,39,91487,,
10300,1794,91227,,
10301,1412,106580,,
10302,1915,167950,,
10303,1850,71455,,
10304,655,160494,,
10305,1914,199075,,
10306,2021,114182,,
10307,38,98357,,
10308,1912,54344,,
10309,606,158476,,
10310,2029,118562,,
10311,494,87172,,
10312,326,147279,,
10313,1582,143442,,
10314,221,80801,,
10315,299,96346,,
10316,1518,24570,,
10317,1109,85155,,
10318,1578,124156,03/05/2020,18/06/2020
10319,1951,87938,,
10320,722,156123,,
10321,557,157965,,
10322,1279,119543,,
10323,1773,110629,,
10324,1702,176291,,
10325,1067,27739,,
10326,592,110721,,
10327,946,191054,,
10328,1135,181196,,
10329,359,85704,,
10330,1599,182748,,
10331,1770,163785,24/04/2020,26/05/2020
10332,2014,119644,,
10333,374,191505,,
10334,780,72916,,
10335,1865,44513,,
10336,253,144367,,
10337,325,156675,,
10338,1829,69045,,
10339,865,26209,,
10340,509,176197,24/04/2020,20/06/2020
10341,1303,82588,,
10342,492,86776,04/05/2020,11/06/2020
10343,610,80791,,
10344,1293,177478,,
10345,1163,34773,,
10346,335,82126,,
10347,99,168680,,
10348,1444,128843,,
10349,1185,120692,,
10350,308,185924,,
10351,371,106031,,
10352,619,21063,,
10353,1963,116108,,
10354,340,107117,,
10355,1617,181501,,
10356,1266,171868,,
10357,539,137625,09/04/2020,29/06/2020
10358,1195,51479,11/04/2020,06/05/2020
10359,863,63560,,
10360,1881,191561,,
10361,1141,75579,05/04/2020,20/05/2020
10362,184,195413,,
10363,409,177438,,
10364,1910,184804,,
10365,125,153625,,
10366,1995,193519,,
10367,861,180463,,
10368,1793,21686,,
10369,1523,20730,,
10370,1894,113811,,
10371,662,25328,,
10372,1807,79367,,
10373,502,176754,,
10374,1517,69117,,
10375,308,36896,,
10376,1996,47279,,
10377,243,145435,,
10378,199,121892,,
10379,221,84855,,
10380,1199,158067,,
10381,1796,77054,,
10382,846,62489,,
10383,359,104094,,
