ID,IDOPERADOR,PRECIO,FECHAINICIODES,FECHAFNDES
1,4,188444,,
2,10,152277,,
3,4,135536,19/04/2020,20/06/2020
4,1,86345,,
5,4,197726,,
6,10,179467,,
7,3,123230,,
8,7,173179,,
9,2,154126,,
10,10,187492,17/04/2020,07/06/2020
11,4,172000,,
12,7,144134,,
13,7,46368,,
14,6,27128,,
15,10,75051,,
16,4,90580,,
17,2,113134,,
18,9,26820,,
19,4,145614,,
20,8,171532,,
21,7,130975,,
22,5,197568,,
23,10,196866,,
24,9,140852,,
25,1,196999,,
26,3,96941,,
27,7,187950,,
28,9,25696,,
29,9,196383,,
30,6,87344,,
31,1,181564,,
32,7,32295,,
33,9,138864,,
34,9,47857,,
35,1,28677,,
36,4,65301,,
37,8,179117,,
38,9,118172,,
39,5,24977,,
40,5,93459,,
41,9,97588,,
42,2,153002,,
43,5,75314,,
44,2,155979,,
45,8,190887,,
46,1,49163,,
47,4,151497,,
48,7,67183,,
49,8,49392,,
50,3,155988,,
51,3,93873,,
52,10,196310,,
53,3,51277,,
54,6,188678,,
55,2,87995,,
56,3,145661,,
57,10,44699,,
58,9,35734,,
59,10,78506,,
60,6,177616,,
61,4,178808,,
62,10,165414,,
63,7,72885,,
64,1,172666,,
65,9,72350,,
66,8,177370,,
67,5,105913,,
68,6,164743,,
69,1,25687,,
70,6,134776,,
71,9,142935,,
72,10,20411,,
73,1,191809,,
74,6,190864,,
75,3,136479,,
76,3,184318,,
77,9,123258,,
78,8,155568,,
79,8,81962,,
80,4,195732,,
81,2,33590,,
82,1,89543,,
83,1,124061,,
84,7,53537,,
85,3,156978,,
86,9,76199,,
87,7,190015,,
88,6,56203,,
89,3,189475,,
90,4,79026,,
91,10,68136,,
92,4,144740,,
93,9,113170,,
94,9,168780,,
95,6,162271,,
96,7,182127,,
97,7,161402,,
98,3,151737,,
99,2,195668,,
100,9,99791,,
101,5,137787,,
102,6,66853,,
103,6,48150,,
104,6,188192,,
105,8,143065,,
106,3,193967,,
107,1,117260,,
108,2,66170,,
109,9,72130,,
110,2,141014,,
111,1,115763,,
112,6,47741,,
113,1,51248,,
114,5,90002,08/04/2020,25/05/2020
115,3,25590,,
116,3,72144,,
117,5,163672,12/04/2020,15/05/2020
118,5,114746,,
119,5,93387,,
120,8,188438,,
121,9,177920,,
122,1,148758,,
123,5,134940,,
124,4,70276,,
125,7,156487,,
126,7,28834,,
127,8,86995,,
128,9,100150,,
129,3,138115,,
130,6,185867,,
131,10,151468,,
132,3,21334,,
133,10,89120,,
134,9,52164,,
135,5,79875,,
136,6,89231,,
137,1,173243,,
138,9,71374,19/04/2020,23/05/2020
139,10,41399,,
140,7,33361,,
141,8,182138,,
142,10,103224,,
143,9,54587,,
144,8,69625,,
145,1,157465,,
146,3,182315,,
147,8,143372,,
148,9,157640,,
149,9,98340,,
150,10,183646,,
151,10,84495,,
152,7,151185,,
153,6,190662,,
154,7,63697,,
155,2,189689,,
156,3,92563,19/04/2020,11/05/2020
157,3,120508,,
158,6,46383,,
159,1,110288,,
160,8,106314,,
161,8,164489,,
162,10,129745,,
163,4,97596,,
164,1,175498,,
165,4,199894,,
166,4,175419,,
167,10,113640,,
168,10,141186,,
169,8,139005,,
170,7,68379,,
171,10,179178,,
172,10,65022,,
173,4,125386,,
174,8,129674,,
175,4,38157,,
176,8,129176,14/04/2020,31/05/2020
177,5,191533,,
178,3,186384,,
179,1,163164,,
180,3,92871,,
181,6,132689,,
182,3,109148,,
183,4,126303,06/04/2020,24/05/2020
184,7,61489,,
185,8,178224,,
186,7,142355,,
187,5,92288,,
188,7,177763,,
189,6,102794,,
190,1,168317,,
191,10,33390,,
192,7,178556,,
193,9,155662,,
194,9,41370,,
195,1,102525,,
196,2,189961,,
197,7,109860,,
198,6,155666,,
199,3,92708,,
200,5,188856,,
201,3,159155,,
202,8,94631,,
203,3,132352,,
204,6,175570,,
205,8,145583,,
206,9,54611,,
207,2,108228,,
208,2,46494,,
209,5,147358,,
210,10,109215,,
211,2,116326,,
212,8,135933,,
213,10,104078,,
214,10,78776,,
215,2,159129,,
216,2,42637,,
217,8,147145,08/04/2020,25/06/2020
218,3,127680,,
219,10,51930,,
220,7,155720,,
221,8,114467,,
222,7,94777,01/05/2020,23/05/2020
223,9,40284,,
224,5,26937,,
225,7,130208,,
226,6,41420,,
227,8,116821,,
228,8,186181,,
229,5,61290,,
230,2,83672,,
231,4,41596,,
232,10,46710,,
233,6,149927,,
234,2,53055,,
235,1,143133,,
236,1,187061,,
237,2,100246,,
238,7,132768,,
239,6,56890,,
240,9,20081,,
241,6,148340,,
242,8,47406,,
243,2,167518,,
244,5,157803,,
245,2,114993,,
246,2,75226,,
247,3,177388,,
248,3,38706,,
249,10,45458,,
250,10,87100,,
251,7,95286,,
252,6,176918,,
253,4,87687,,
254,6,22070,,
255,9,167579,,
256,5,127231,,
257,5,168820,,
258,8,195193,,
259,5,101095,,
260,10,139694,,
261,10,94567,,
262,2,87943,,
263,6,48781,,
264,9,100838,,
265,5,131029,,
266,2,45022,,
267,10,26760,,
268,7,88597,,
269,1,40963,,
270,10,29831,,
271,6,34284,,
272,2,122560,,
273,1,58556,,
274,5,72687,,
275,4,36213,,
276,8,96860,,
277,1,133473,,
278,4,93262,,
279,9,173605,,
280,3,121767,,
281,2,158970,,
282,7,38723,,
283,1,121009,,
284,1,179126,,
285,3,73266,,
286,7,65913,,
287,6,20231,,
288,6,55008,,
289,4,25399,23/04/2020,17/06/2020
290,9,44531,,
291,8,109319,,
292,2,26060,,
293,5,131824,,
294,6,78180,,
295,4,121360,,
296,10,190400,,
297,2,135582,,
298,4,53319,,
299,8,21498,,
300,4,87494,,
301,2,32136,,
302,7,35686,19/04/2020,06/05/2020
303,4,174867,,
304,3,72888,,
305,4,139900,,
306,6,173375,,
307,4,166363,,
308,5,179894,,
309,8,125174,,
310,5,132176,,
311,8,61207,,
312,7,44368,,
313,4,70125,,
314,8,22776,,
315,3,87389,,
316,8,116856,,
317,2,100679,,
318,8,56897,,
319,1,153075,,
320,4,153692,,
321,6,101170,,
322,7,93189,,
323,9,155150,,
324,8,117210,,
325,1,199579,,
326,6,92263,,
327,7,173236,,
328,3,43981,,
329,8,107403,,
330,4,62429,,
331,9,110128,,
332,5,135540,,
333,8,170954,,
334,1,195621,,
335,9,82455,,
336,10,96287,,
337,4,87923,,
338,3,98468,,
339,7,83352,,
340,3,103705,,
341,7,59134,,
342,1,104553,,
343,10,179791,,
344,5,156363,,
345,1,36436,06/04/2020,02/07/2020
346,4,66809,,
347,9,197099,,
348,7,72224,,
349,10,192604,,
350,7,34485,,
351,7,140455,,
352,2,60720,,
353,5,88867,,
354,4,106176,,
355,7,160763,,
356,6,74498,,
357,8,117595,,
358,10,83896,,
359,4,90078,,
360,8,167466,,
361,7,186314,,
362,3,152632,,
363,4,43343,,
364,2,61775,,
365,3,61028,,
366,5,77459,,
367,4,148480,09/04/2020,25/05/2020
368,7,50301,,
369,5,155587,,
370,7,175446,,
371,2,21258,,
372,4,90174,,
373,8,37563,,
374,1,96163,,
375,10,195782,,
376,3,146799,,
377,2,149774,,
378,7,102055,,
379,2,42582,,
380,4,195069,,
381,2,108344,,
382,8,159685,,
383,10,182962,,
384,10,91322,,
385,4,73189,,
386,6,35921,,
387,5,20963,,
388,5,117075,,
389,6,197235,,
390,1,145450,,
391,6,99769,,
392,9,159070,,
393,7,177481,,
394,1,101378,,
395,9,149196,,
396,3,84265,,
397,1,54921,,
398,6,143654,,
399,4,67314,,
400,9,180080,,
401,8,80640,06/04/2020,08/06/2020
402,2,173484,,
403,4,163573,,
404,2,57676,,
405,5,23075,,
406,6,141731,,
407,3,164708,,
408,5,156104,,
409,6,87606,,
410,6,37631,,
411,8,70160,,
412,6,69890,,
413,7,58342,,
414,9,82803,,
415,5,143565,,
416,8,198608,,
417,6,84449,,
418,10,131409,,
419,1,53846,,
420,3,135842,,
421,9,199973,,
422,9,158522,,
423,6,112013,,
424,4,59258,,
425,5,173459,,
426,10,38240,,
427,10,47621,,
428,4,161312,,
429,10,37149,,
430,1,28721,,
431,1,170725,,
432,8,185258,,
433,7,179572,,
434,7,87841,,
435,3,36896,,
436,6,123224,,
437,5,171355,,
438,8,151901,,
439,3,95027,,
440,9,129108,,
441,1,146544,,
442,6,163040,,
443,7,106681,,
444,7,153557,30/04/2020,21/05/2020
445,3,26320,,
446,5,119912,,
447,9,168116,,
448,8,25235,,
449,3,100656,,
450,9,52844,,
451,5,143100,26/04/2020,26/06/2020
452,6,98259,,
453,10,32832,,
454,9,172974,,
455,7,59239,,
456,6,192214,,
457,8,149831,,
458,7,53399,,
459,3,165602,,
460,1,119498,,
461,8,72563,,
462,8,137592,,
463,4,95420,01/05/2020,05/05/2020
464,1,140840,,
465,2,129060,,
466,9,39042,,
467,1,77383,,
468,4,62932,,
469,10,199586,,
470,6,195197,,
471,10,196157,,
472,2,199890,,
473,3,197122,,
474,4,61139,,
475,3,94840,,
476,5,50333,,
477,7,161812,,
478,8,79654,,
479,5,105409,,
480,5,155339,,
481,10,34728,,
482,9,24278,,
483,1,90406,,
484,10,116723,,
485,10,121714,,
486,2,106179,,
487,6,87844,,
488,7,131794,,
489,1,199255,,
490,1,85913,,
491,5,121720,,
492,1,50230,,
493,9,98907,,
494,4,135180,,
495,3,55782,,
496,9,143000,,
497,1,33227,,
498,10,57586,,
499,3,154603,,
500,2,27320,,
501,1,123355,,
502,5,190741,,
503,1,31186,,
504,9,189252,23/04/2020,03/06/2020
505,9,57500,,
506,2,66913,,
507,1,161355,,
508,1,45636,,
509,7,63027,,
510,1,185766,,
511,1,123028,,
512,8,54986,,
513,10,79561,,
514,10,89678,,
515,1,164244,,
516,7,24886,,
517,3,149949,,
518,7,168835,27/04/2020,15/05/2020
519,9,135006,,
520,5,22744,12/04/2020,24/05/2020
521,5,199684,,
522,9,57277,,
523,1,71302,,
524,2,108383,,
525,1,112795,,
526,5,65624,,
527,9,74117,,
528,7,161220,,
529,9,55424,,
530,1,51979,,
531,4,137810,,
532,6,116821,27/04/2020,11/06/2020
533,10,158857,,
534,9,63958,,
535,2,129859,,
536,4,78897,,
537,5,135969,,
538,2,41628,,
539,9,82045,,
540,4,90489,,
541,5,171323,,
542,4,95241,,
543,4,187703,,
544,9,26264,,
545,10,106456,,
546,3,195084,,
547,5,180993,,
548,3,21676,,
549,2,85388,,
550,1,137061,,
551,9,97996,,
552,4,118703,,
553,7,83637,,
554,2,45169,,
555,4,88320,,
556,10,157825,,
557,1,65587,,
558,5,197371,,
559,7,183770,,
560,2,46331,,
561,4,89294,,
562,7,179430,,
563,9,131511,,
564,10,73007,,
565,7,181915,,
566,8,99869,,
567,3,49885,,
568,10,157491,,
569,7,123674,,
570,2,124504,,
571,6,37340,,
572,2,121264,,
573,3,91945,,
574,6,20999,,
575,4,133255,16/04/2020,25/05/2020
576,6,21027,,
577,2,168505,,
578,3,168364,,
579,2,62378,,
580,7,113011,,
581,5,175472,,
582,3,193461,,
583,10,84110,11/04/2020,01/06/2020
584,10,136829,,
585,6,97379,,
586,9,108838,,
587,7,51363,,
588,9,104510,,
589,4,188264,,
590,3,58779,,
591,10,49591,,
592,3,87659,,
593,5,189935,,
594,6,75000,,
595,1,141788,,
596,4,68591,,
597,9,59514,,
598,3,67320,,
599,9,195364,,
600,4,70109,,
601,4,124436,,
602,8,23924,,
603,9,183572,,
604,4,150484,,
605,4,138969,,
606,7,139651,,
607,6,81150,,
608,8,119016,,
609,10,58876,,
610,10,172728,,
611,6,130508,,
612,7,77808,,
613,8,186036,,
614,5,74413,,
615,5,147335,,
