ID,IDOPERADOR,PRECIO,FECHAINICIODES,FECHAFNDES
7761,6494,48153,,
7762,6924,115632,,
7763,5688,77255,,
7764,5945,90715,,
7765,7337,94122,,
7766,5466,84626,,
7767,6837,120685,,
7768,6633,120756,,
7769,6297,26597,,
7770,6412,44777,,
7771,6885,128030,,
7772,6954,173838,,
7773,5821,121720,,
7774,5352,35474,,
7775,7285,159765,,
7776,7396,35472,,
7777,6226,190737,,
7778,5352,25809,,
7779,6911,142102,,
7780,5441,135708,,
7781,6646,39982,,
7782,6570,188077,,
7783,6413,166267,,
7784,5154,170007,,
7785,5635,143154,,
7786,5097,96392,,
7787,6867,142553,,
7788,7024,141805,,
7789,6002,157172,,
7790,6878,177975,,
7791,6677,133112,,
7792,5838,35451,,
7793,6585,21282,13/04/2020,01/07/2020
7794,6178,181547,,
7795,6779,44537,18/04/2020,10/06/2020
7796,5530,186670,,
7797,5488,133291,,
7798,7127,21389,,
7799,5304,128540,,
7800,6659,65705,,
7801,6003,182801,,
7802,7047,150660,,
7803,6239,158892,,
7804,5043,181643,,
7805,5060,75838,,
7806,5597,53709,,
7807,6153,94974,,
7808,5467,47241,,
7809,6894,116184,,
7810,7448,187080,20/04/2020,21/05/2020
7811,6216,64119,,
7812,6224,46645,,
7813,6543,138636,,
7814,5123,37815,,
7815,5384,83514,,
7816,6774,107621,,
7817,6417,117190,,
7818,7250,91166,,
7819,5879,60309,,
7820,5438,98893,,
7821,5070,184663,,
7822,7286,120504,,
7823,5846,135213,,
7824,5861,78740,,
7825,6864,48660,,
7826,5851,139418,,
7827,6883,155064,,
7828,6342,117057,,
7829,5585,116338,,
7830,6677,48248,,
7831,5310,157603,,
7832,5470,29940,21/04/2020,08/06/2020
7833,6326,67925,,
7834,7453,62272,,
7835,6488,136113,,
7836,7239,181417,,
7837,6156,99869,,
7838,5539,83513,,
7839,5766,33188,,
7840,5341,179968,,
7841,6905,186965,,
7842,7176,36334,,
7843,6520,136712,,
7844,7367,137225,,
7845,5420,147415,,
7846,6432,164186,,
7847,5139,40047,,
7848,6526,151916,,
7849,7373,48097,,
7850,5620,49082,,
7851,6771,143965,,
7852,7157,72446,,
7853,5590,169123,,
7854,6754,117254,,
7855,6456,62210,,
7856,6031,185804,26/04/2020,08/06/2020
7857,5525,158849,,
7858,6318,79663,,
7859,6287,122881,,
7860,6020,33533,,
7861,6660,152461,,
7862,7382,144949,,
7863,5320,96885,,
7864,6579,50296,,
7865,5947,56771,,
7866,5521,87161,08/04/2020,19/06/2020
7867,6467,97502,,
7868,5514,81172,,
7869,6305,68469,,
7870,5108,111177,,
7871,6717,102826,,
7872,5928,88387,,
7873,7117,132204,,
7874,5866,23509,,
7875,6568,105531,,
7876,5113,190766,,
7877,5051,127644,,
7878,6262,93711,,
7879,5398,121444,,
7880,6884,139601,,
7881,6887,127027,,
7882,5313,140725,,
7883,7293,101649,,
7884,6737,86466,,
7885,7466,151229,,
7886,5128,190034,,
7887,7281,93282,,
7888,7165,199670,,
7889,7062,185221,,
7890,5206,43294,,
7891,6867,183192,,
7892,6577,21186,,
7893,6989,32921,10/04/2020,23/06/2020
7894,6473,57177,,
7895,6575,116023,,
7896,5903,87180,,
7897,6539,91558,,
7898,6697,188021,,
7899,7024,90665,,
7900,5070,47644,,
7901,5764,65692,,
7902,5750,195961,,
7903,7113,65569,,
7904,6348,183863,,
7905,5778,20301,,
7906,6411,77258,,
7907,5765,98083,,
7908,5113,37769,,
7909,6517,166833,,
7910,5150,98595,,
7911,5413,134620,,
7912,6917,199485,,
7913,7195,111440,,
7914,6323,50917,18/04/2020,18/06/2020
7915,5369,93059,,
7916,5842,46635,,
7917,7421,23423,,
7918,7314,73003,,
7919,5249,144122,,
7920,6085,116069,,
7921,6850,27363,,
7922,5306,119339,,
7923,5369,45032,,
7924,5667,85458,,
7925,6057,37315,,
7926,6325,112623,,
7927,7450,166815,,
7928,5981,193832,,
7929,5568,176342,,
7930,5335,168827,,
7931,5161,79545,,
7932,6344,166582,,
7933,5760,117298,,
7934,6925,151833,,
7935,5422,92905,,
7936,6904,115890,,
7937,5725,120940,,
7938,5904,30895,,
7939,5584,128960,,
7940,6210,143506,,
7941,6082,24908,,
7942,6559,172083,,
7943,5820,91140,,
7944,5421,25452,,
7945,5446,48034,,
7946,6449,110414,18/04/2020,07/06/2020
7947,6677,24860,,
7948,7442,171999,,
7949,6196,101753,,
7950,5240,60749,,
7951,7108,56760,,
7952,6870,150525,,
7953,6483,37666,,
7954,5742,85107,,
7955,6275,131197,,
7956,7449,73247,,
7957,5869,25634,,
7958,6394,56153,,
7959,7343,197361,,
7960,6294,79644,,
7961,7385,118796,,
7962,6682,166507,,
7963,6556,130381,,
7964,5661,28644,,
7965,6738,192034,,
7966,6737,196637,,
7967,5451,176094,,
7968,5894,164739,,
7969,7355,20336,10/04/2020,17/05/2020
7970,6405,146752,14/04/2020,24/05/2020
7971,7321,81085,,
7972,7207,50828,,
7973,5632,151036,,
7974,7383,125033,,
7975,7138,139645,,
7976,5577,23632,,
7977,5401,55758,,
7978,6178,198750,,
7979,5622,49833,,
7980,7317,91196,,
7981,6718,43605,,
7982,6588,115818,,
7983,6959,99435,,
7984,5929,76455,,
7985,7207,29594,,
7986,5064,43402,,
7987,6783,155648,,
7988,5543,35467,,
7989,6848,128431,,
7990,5149,153896,,
7991,6798,97843,,
7992,6502,70460,,
7993,6197,199188,,
7994,5948,22329,,
7995,5266,44989,,
7996,5735,118673,,
7997,5616,178941,,
7998,7032,106391,,
7999,5452,32367,,
8000,7145,82850,,
8001,6799,25524,,
8002,7436,60389,,
8003,7322,154527,,
8004,5788,118258,,
8005,6019,61067,,
8006,6353,199678,,
8007,6083,155750,,
8008,6982,87526,,
8009,5957,157787,18/04/2020,04/06/2020
8010,5580,39716,,
8011,5669,172234,,
8012,6753,101918,,
8013,6175,157386,,
8014,6348,182334,,
8015,6163,106710,,
8016,6331,182864,,
8017,7084,92045,,
8018,7159,152924,,
8019,6457,64378,,
8020,7055,149268,,
8021,6300,23636,,
8022,7103,194891,,
8023,5910,180100,,
8024,7237,44250,,
8025,6443,33133,,
8026,5731,111054,,
8027,6906,163710,,
8028,7129,139020,,
8029,6793,45215,,
8030,5617,148214,,
8031,5180,159968,,
8032,5625,194676,,
8033,5473,150305,,
8034,6880,127204,,
8035,5807,136007,,
8036,7053,63263,,
8037,7295,82927,,
8038,6784,91267,,
8039,5679,83488,,
8040,6599,32951,,
8041,6278,74970,,
8042,6497,73564,,
8043,5898,58747,,
8044,5410,84967,,
8045,5768,47091,,
8046,7478,176029,,
8047,6943,129724,,
8048,7136,167692,,
8049,7069,116643,,
8050,5468,80749,,
8051,6556,51631,,
8052,7323,47245,,
8053,6121,80963,,
8054,7271,155973,,
8055,5582,30641,,
8056,5616,27324,,
8057,6845,37597,,
8058,6601,196699,,
8059,5496,123869,,
8060,6725,45755,,
8061,7138,143741,,
8062,7457,166871,,
8063,6700,124600,,
8064,7122,177155,,
8065,5840,39724,,
8066,6860,171780,,
8067,6819,84148,,
8068,5318,145863,,
8069,6777,174036,,
8070,5077,32454,,
8071,6663,151684,,
8072,5971,99133,,
8073,7040,109618,,
8074,5131,149588,,
8075,7267,152667,,
8076,5299,118304,,
8077,5889,169448,,
8078,6171,31421,,
8079,7002,26826,,
8080,5077,25190,,
8081,5454,61536,,
8082,7016,66210,,
8083,6189,185166,,
8084,5727,121586,,
8085,6791,146404,,
8086,6312,137394,,
8087,7099,36393,,
8088,6118,33175,,
8089,5635,137475,,
8090,5164,121038,,
8091,6167,47994,,
8092,6992,141842,,
8093,5579,44502,,
8094,7459,63271,,
8095,7438,110231,,
8096,5329,126226,,
8097,6737,96598,,
8098,6907,56615,,
8099,6552,155186,,
8100,6931,51250,,
8101,5997,192257,07/04/2020,13/05/2020
8102,5675,92235,07/04/2020,16/06/2020
8103,6575,70653,,
