ID,IDOPERADOR,PRECIO,FECHAINICIODES,FECHAFNDES
1761,23,200000,,
1762,23,200000,,
1763,23,200000,,
1764,23,100000,,
1765,23,100000,,
1766,23,150000,,
1767,23,100000,,
1768,23,200000,,
1769,23,200000,,
1770,23,100000,,
1771,23,100000,,
1772,23,200000,14/04/2020,24/06/2020
1773,23,100000,,
1774,23,200000,,
1775,23,150000,,
1776,23,150000,,
1777,23,100000,,
1778,23,200000,,
1779,23,150000,,
1780,23,200000,,
1781,23,150000,,
1782,23,150000,,
1783,23,150000,,
1784,23,150000,,
1785,23,200000,,
1786,23,100000,,
1787,23,200000,,
1788,23,100000,,
1789,23,150000,,
1790,23,150000,,
1791,23,200000,,
1792,23,100000,,
1793,23,200000,29/04/2020,25/06/2020
1794,23,100000,,
1795,23,100000,,
1796,23,150000,,
1797,23,150000,,
1798,23,100000,,
1799,23,100000,,
1800,23,150000,,
1801,23,200000,,
1802,23,200000,,
1803,23,100000,,
1804,23,150000,,
1805,23,100000,02/05/2020,09/05/2020
1806,23,200000,,
1807,23,150000,,
1808,23,100000,,
1809,23,100000,,
1810,23,100000,,
1811,23,200000,,
1812,23,100000,,
1813,23,200000,,
1814,23,200000,,
1815,23,100000,,
1816,23,200000,,
1817,23,150000,,
1818,23,200000,,
1819,23,150000,,
1820,23,150000,,
1821,23,150000,,
1822,23,200000,,
1823,23,100000,,
1824,23,150000,,
1825,23,150000,,
1826,23,150000,,
1827,23,200000,,
1828,23,200000,,
1829,23,200000,,
1830,23,100000,,
1831,23,200000,,
1832,23,200000,,
1833,23,100000,,
1834,23,150000,,
1835,23,150000,,
1836,23,100000,,
1837,23,150000,,
1838,23,200000,,
1839,23,100000,,
1840,23,200000,,
1841,23,100000,,
1842,23,150000,,
1843,23,150000,,
1844,23,100000,,
1845,23,150000,,
1846,23,100000,25/04/2020,17/06/2020
1847,23,150000,,
1848,23,150000,,
1849,23,200000,,
1850,23,200000,,
1851,23,150000,,
1852,23,200000,,
1853,23,200000,,
1854,23,150000,,
1855,23,150000,,
1856,23,100000,,
1857,23,100000,,
1858,23,200000,,
1859,23,100000,,
1860,23,100000,,
1861,23,150000,,
1862,23,200000,,
1863,23,200000,,
1864,23,100000,,
1865,23,150000,,
1866,23,100000,,
1867,23,200000,,
1868,23,100000,,
1869,23,200000,,
1870,23,150000,,
1871,23,100000,,
1872,23,100000,,
1873,23,100000,,
1874,23,200000,,
1875,23,150000,,
1876,23,150000,,
1877,23,200000,,
1878,23,150000,,
1879,23,100000,,
1880,23,100000,,
1881,23,200000,,
1882,23,100000,,
1883,23,150000,,
1884,23,100000,,
1885,23,100000,,
1886,23,200000,,
1887,23,100000,,
1888,23,100000,,
1889,23,150000,,
1890,23,200000,,
1891,23,150000,,
1892,23,100000,,
1893,23,150000,,
1894,23,100000,,
1895,23,100000,,
1896,23,100000,,
1897,23,100000,,
1898,23,200000,,
1899,23,150000,,
1900,23,150000,,
1901,23,150000,,
1902,23,100000,29/04/2020,20/05/2020
1903,23,150000,,
1904,23,200000,,
1905,23,150000,,
1906,23,200000,,
1907,23,100000,,
1908,23,150000,,
1909,23,200000,,
1910,23,200000,,
1911,23,150000,,
1912,23,150000,,
1913,23,150000,,
1914,23,100000,,
1915,23,200000,,
1916,23,100000,,
1917,23,150000,,
1918,23,150000,,
1919,23,100000,,
1920,23,150000,,
1921,23,100000,15/04/2020,02/06/2020
1922,23,150000,,
1923,23,200000,,
1924,23,200000,,
1925,23,150000,,
1926,23,100000,,
1927,23,100000,,
1928,23,100000,,
1929,23,150000,,
1930,23,100000,,
1931,23,150000,,
1932,23,100000,,
1933,23,200000,,
1934,23,150000,,
1935,23,100000,,
1936,23,200000,,
1937,23,100000,,
1938,23,200000,,
1939,23,150000,,
1940,23,100000,,
1941,23,150000,,
1942,23,200000,18/04/2020,23/06/2020
1943,23,200000,,
1944,23,100000,,
1945,23,200000,,
1946,23,200000,,
1947,23,200000,,
1948,23,150000,,
1949,23,100000,,
1950,23,150000,,
1951,23,200000,,
1952,23,100000,,
1953,23,150000,,
1954,23,200000,,
1955,23,200000,,
1956,23,150000,,
1957,23,200000,12/04/2020,22/06/2020
1958,23,150000,,
1959,23,100000,,
1960,23,150000,,
1961,23,100000,,
1962,23,100000,,
1963,23,150000,,
1964,23,150000,,
1965,23,150000,,
