ID,IDOPERADOR,PRECIO,FECHAINICIODES,FECHAFNDES
4761,4160,140151,,
4762,3368,121341,,
4763,2991,80307,,
4764,3945,94787,,
4765,3191,39454,,
4766,2546,22451,,
4767,4864,169624,,
4768,4722,45665,,
4769,4068,76929,,
4770,2634,75337,,
4771,3887,121031,,
4772,3714,130516,,
4773,2495,159005,,
4774,5027,45382,06/04/2020,16/06/2020
4775,3658,187792,,
4776,4284,55055,,
4777,2345,148414,,
4778,2653,107037,,
4779,3152,82816,,
4780,2807,173095,,
4781,3734,193265,,
4782,2422,174387,,
4783,3359,193112,,
4784,2192,124556,,
4785,3173,167976,,
4786,4352,92808,,
4787,4515,156068,,
4788,2657,69037,,
4789,4878,125649,,
4790,4487,173013,,
4791,4861,69445,,
4792,3413,70484,,
4793,4251,55526,,
4794,5020,108873,,
4795,3207,87183,,
4796,4343,180244,,
4797,2444,94057,,
4798,4692,62331,,
4799,2283,191596,12/04/2020,25/06/2020
4800,3827,127075,,
4801,2902,161013,,
4802,3767,39204,,
4803,2690,81327,,
4804,4726,69204,,
4805,4951,172296,,
4806,3825,54392,,
4807,2596,115082,,
4808,3839,87895,,
4809,3018,192734,,
4810,4842,110754,,
4811,4334,187447,,
4812,3584,196959,,
4813,3368,87503,,
4814,2916,122643,,
4815,4981,187396,,
4816,2785,114661,,
4817,2153,120716,,
4818,4934,160216,,
4819,3988,198601,07/04/2020,27/06/2020
4820,4647,124667,,
4821,2971,148721,,
4822,4097,34188,,
4823,3962,66632,,
4824,3755,104291,,
4825,2546,161594,,
4826,4186,36755,,
4827,3828,100459,,
4828,2181,82928,,
4829,3541,25067,,
4830,2971,195174,,
4831,3189,57359,,
4832,3931,126281,,
4833,3417,184007,,
4834,3871,132512,,
4835,3153,66064,,
4836,2328,122542,,
4837,2209,88251,,
4838,3479,69809,,
4839,4700,81664,,
4840,4478,129055,,
4841,2924,167382,11/04/2020,18/06/2020
4842,3319,129388,,
4843,2074,168352,,
4844,4644,105501,,
4845,4075,35319,,
4846,3129,90716,,
4847,4464,99282,,
4848,2873,155907,,
4849,4547,101228,,
4850,3569,79043,,
4851,3210,155469,,
4852,2756,152774,,
4853,4975,127266,,
4854,4132,25114,,
4855,4056,173760,,
4856,4961,46382,,
4857,4630,176068,,
4858,4963,47095,,
4859,4284,73600,,
4860,2472,79075,,
4861,4464,67869,,
4862,4357,55744,,
4863,3472,31598,,
4864,3350,176679,,
4865,4739,101374,,
4866,2415,113843,,
4867,2879,103160,,
4868,4857,192288,,
4869,3781,195336,,
4870,4868,147588,,
4871,4843,144205,,
4872,3859,80491,,
4873,3665,114731,,
4874,2275,68467,,
4875,3742,92247,07/04/2020,01/07/2020
4876,4996,123421,,
4877,3253,134338,,
4878,4085,150025,,
4879,3604,80378,,
4880,4062,123194,,
4881,4036,57251,,
4882,2196,151551,,
4883,4505,96376,,
4884,4995,91404,,
4885,3313,131704,,
4886,4102,105616,,
4887,3089,84586,,
4888,4317,63351,,
4889,3862,176729,,
4890,3168,176414,,
4891,3917,77971,,
4892,4862,56983,,
4893,2333,150372,,
4894,3550,154739,,
4895,3389,34637,,
4896,4264,49559,,
4897,4564,31179,,
4898,3672,149378,,
4899,2564,128741,,
4900,3875,154777,,
4901,2448,125590,,
4902,4088,27676,,
4903,4754,41582,,
4904,3060,78689,,
4905,3488,89648,,
4906,4375,71180,,
4907,4815,177928,,
4908,3493,81774,,
4909,3616,40314,,
4910,4299,134832,,
4911,3457,113534,,
4912,4752,138092,,
4913,2170,173704,,
4914,4589,104445,,
4915,3053,137930,,
4916,3965,67805,,
4917,4806,71007,,
4918,4853,23132,,
4919,2527,95140,,
4920,3612,64337,,
4921,2624,115592,,
4922,2552,113519,,
4923,2528,35448,03/05/2020,08/06/2020
4924,3143,164340,,
4925,2748,80237,,
4926,4121,151768,,
4927,4453,116384,,
4928,3571,43338,,
4929,3498,180810,,
4930,2068,47351,,
4931,3358,20733,,
4932,2067,171206,,
4933,4841,186188,,
4934,3365,133813,,
4935,4576,86348,,
4936,3282,175461,,
4937,3758,89379,,
4938,2801,83543,,
4939,3549,178764,,
