IDALOJAMIENTO,DIRECCION,VALORADMIN,AMOBLADO
10261,7 Ridgeview Place,295611,N
10262,0116 Rieder Avenue,304897,Y
10263,8025 Monica Pass,544983,Y
10264,13 Walton Road,408879,Y
10265,557 Monument Way,424478,N
10266,19 Thackeray Court,341704,Y
10267,081 Welch Place,38801,Y
10268,109 Susan Center,561669,N
10269,369 Evergreen Park,122777,N
10270,29191 Hollow Ridge Hill,401574,N
10271,7 Northridge Point,208596,N
10272,577 Elgar Court,177303,Y
10273,32 Fulton Hill,541375,N
10274,13560 Monica Parkway,49221,N
10275,3562 Novick Alley,590262,N
10276,51 Loomis Circle,52815,N
10277,3 Commercial Alley,246726,Y
10278,746 Randy Circle,477650,N
10279,2990 Moland Center,481937,Y
10280,14 7th Road,598141,N
10281,10277 Brentwood Point,207175,N
10282,612 Gulseth Trail,15181,Y
10283,4509 Coleman Road,253835,Y
10284,3133 Old Shore Terrace,57132,Y
10285,37118 Reindahl Parkway,382308,N
10286,9 1st Avenue,577867,N
10287,5762 Superior Hill,510697,N
10288,3 Hollow Ridge Junction,774,Y
10289,71 Forest Run Point,275674,N
10290,02 Towne Circle,157239,N
10291,689 Briar Crest Lane,334171,Y
10292,122 Briar Crest Center,370179,Y
10293,00 Nancy Drive,393897,N
10294,3 Debs Circle,311473,N
10295,3 Dovetail Place,62239,N
10296,9029 Meadow Vale Park,175512,Y
10297,3 Acker Way,434744,Y
10298,3 Monument Pass,554889,Y
10299,0013 Columbus Park,379323,Y
10300,37 Bunker Hill Center,5730,N
10301,2090 Morrow Drive,231353,Y
10302,6231 Daystar Plaza,161839,N
10303,714 Kensington Alley,580909,Y
10304,5759 Hermina Junction,153620,N
10305,37 Stoughton Alley,193862,N
10306,4705 Northwestern Trail,168521,Y
10307,838 Clarendon Place,375102,Y
10308,4 Forest Run Pass,176804,Y
10309,12 Arrowood Parkway,48263,Y
10310,863 Caliangt Hill,87755,Y
10311,04858 Fisk Place,526995,Y
10312,567 Susan Circle,52253,N
10313,11 Huxley Plaza,576025,N
10314,5056 Delladonna Junction,529029,N
10315,480 Clyde Gallagher Terrace,222998,N
10316,91338 Pine View Terrace,471628,N
10317,596 Annamark Road,168931,N
10318,10 Donald Parkway,73076,Y
10319,1613 Oak Valley Park,532458,N
10320,02 Waxwing Trail,300452,N
10321,8 Butterfield Park,522349,N
10322,4945 Longview Crossing,482488,Y
10323,67529 Bartillon Crossing,569498,N
10324,385 Alpine Center,54232,N
10325,05 Swallow Parkway,578305,Y
10326,7 Toban Alley,39622,N
10327,73774 Northview Road,370583,N
10328,65346 Doe Crossing Terrace,49794,N
10329,762 6th Circle,499130,Y
10330,5 Crescent Oaks Avenue,539938,Y
10331,9 Golden Leaf Circle,581373,N
10332,55285 Vidon Terrace,238178,N
10333,85 Moulton Circle,595582,N
10334,437 Oriole Plaza,431573,N
10335,952 Walton Pass,174110,Y
10336,240 Lerdahl Park,34857,N
10337,28920 Little Fleur Center,571120,Y
10338,2858 Mcbride Parkway,291878,N
10339,27975 Hermina Point,47150,Y
10340,2 Grasskamp Hill,506438,N
10341,01 Trailsway Hill,302656,Y
10342,91976 East Parkway,271335,Y
10343,94 Brickson Park Circle,590706,Y
10344,57 Portage Pass,75654,Y
