IDALOJAMIENTO,DIRECCION,NUMHABITACION,TIPOHABITACION,TIPOOPHAB
801,28 Larry Circle,580,Compartida,Hostal
802,291 Eastlawn Lane,47,Compartida,Hostal
803,91 Sauthoff Drive,900,Compartida,Hostal
804,50620 Upham Court,57291,Compartida,Hostal
805,8 Dunning Crossing,69,Compartida,Hostal
806,18 John Wall Junction,6,Compartida,Hostal
807,931 Ohio Center,8,Compartida,Hostal
808,3 Onsgard Road,64,Compartida,Hostal
809,7 Mariners Cove Center,24007,Compartida,Hostal
810,7407 Pawling Crossing,12159,Compartida,Hostal
811,5 Moose Trail,0791,Compartida,Hostal
812,4292 Welch Parkway,4809,Compartida,Hostal
813,28346 Vernon Center,310,Compartida,Hostal
814,460 Grim Court,0,Compartida,Hostal
815,56 Glendale Street,4057,Compartida,Hostal
816,320 Mallory Trail,60082,Compartida,Hostal
817,2689 Clarendon Way,053,Compartida,Hostal
818,32036 Hallows Park,71,Compartida,Hostal
819,893 5th Drive,9050,Compartida,Hostal
820,327 Dottie Hill,360,Compartida,Hostal
821,5 Di Loreto Parkway,56987,Compartida,Hostal
822,83785 Heffernan Parkway,865,Compartida,Hostal
823,7 Thompson Plaza,49414,Compartida,Hostal
824,061 Rigney Alley,70,Compartida,Hostal
825,70 Forster Street,75,Compartida,Hostal
826,1413 Coolidge Drive,4009,Compartida,Hostal
827,708 Green Ridge Alley,86,Compartida,Hostal
828,282 Bowman Pass,998,Compartida,Hostal
829,063 Rieder Pass,69,Compartida,Hostal
830,82836 Melrose Lane,9640,Compartida,Hostal
831,362 Stephen Alley,475,Compartida,Hostal
832,764 Scott Crossing,8,Compartida,Hostal
833,6 Pond Avenue,517,Compartida,Hostal
834,762 Mcbride Hill,39,Compartida,Hostal
835,67770 Valley Edge Pass,1743,Compartida,Hostal
836,64798 Grim Circle,881,Compartida,Hostal
837,0 Grover Center,03,Compartida,Hostal
838,17318 Buell Way,53,Compartida,Hostal
839,74 Larry Street,48,Compartida,Hostal
840,525 Harper Parkway,91,Compartida,Hostal
841,412 Lakewood Gardens Place,0,Compartida,Hostal
842,7 Pine View Alley,31,Compartida,Hostal
843,8870 Milwaukee Junction,3,Compartida,Hostal
844,09 Northview Way,670,Compartida,Hostal
845,19361 Harbort Crossing,3423,Compartida,Hostal
846,86216 Hovde Crossing,83321,Compartida,Hostal
847,776 1st Court,313,Compartida,Hostal
848,86 Declaration Junction,72768,Compartida,Hostal
849,167 Pennsylvania Court,83779,Compartida,Hostal
850,1674 Maple Wood Way,3820,Compartida,Hostal
851,01 Merchant Crossing,97,Compartida,Hostal
852,793 Garrison Parkway,11,Compartida,Hostal
853,5 Brentwood Street,3202,Compartida,Hostal
854,79910 Redwing Way,8,Compartida,Hostal
855,7073 Elka Center,08963,Compartida,Hostal
856,63190 Darwin Center,6924,Compartida,Hostal
857,326 Harper Plaza,0262,Compartida,Hostal
858,90 Hooker Court,2925,Compartida,Hostal
859,38553 Waywood Park,9,Compartida,Hostal
860,5 Crownhardt Way,713,Compartida,Hostal
861,2 Eastlawn Parkway,33361,Compartida,Hostal
862,6166 Mendota Circle,4,Compartida,Hostal
863,702 Mcbride Plaza,2,Compartida,Hostal
864,64 Armistice Park,13160,Compartida,Hostal
865,4896 Towne Terrace,5419,Compartida,Hostal
866,0394 Kinsman Avenue,4,Compartida,Hostal
867,06 Lakeland Way,1580,Compartida,Hostal
868,99 Rieder Place,173,Compartida,Hostal
869,185 Sheridan Avenue,6236,Compartida,Hostal
870,42907 Meadow Vale Trail,8998,Compartida,Hostal
871,2118 Dahle Way,505,Compartida,Hostal
872,73250 Eliot Street,1,Compartida,Hostal
873,5516 Myrtle Center,514,Compartida,Hostal
874,54061 La Follette Road,92,Compartida,Hostal
875,3 Comanche Avenue,16798,Compartida,Hostal
876,2569 Schurz Junction,25,Compartida,Hostal
877,39149 Truax Point,01,Compartida,Hostal
878,7196 Vidon Way,3681,Compartida,Hostal
879,56 Kings Alley,193,Compartida,Hostal
880,3 Pearson Court,32030,Compartida,Hostal
881,8 Paget Point,13903,Compartida,Hostal
882,878 Coolidge Way,8,Compartida,Hostal
883,92391 Huxley Street,44,Compartida,Hostal
884,261 Pearson Plaza,97882,Compartida,Hostal
885,4674 Hoffman Trail,86,Compartida,Hostal
