IDALOJAMIENTO,DIRECCION,NUMHABITACION,TIPOHABITACION,TIPOOPHAB
1,5410 Dexter Drive,6,Estandar,Hotel
2,363 Sherman Trail,607,Suite,Hotel
3,8033 Morning Park,8,Semisuite,Hotel
4,972 Fair Oaks Lane,7928,Semisuite,Hotel
5,95 Derek Court,364,Semisuite,Hotel
6,99 Talmadge Street,0,Suite,Hotel
7,80743 Fair Oaks Street,5,Estandar,Hotel
8,4 Hooker Avenue,27,Suite,Hotel
9,33660 Stoughton Crossing,5135,Suite,Hotel
10,889 Cardinal Pass,27,Suite,Hotel
11,40029 Goodland Trail,6396,Semisuite,Hotel
12,39 Park Meadow Hill,92,Suite,Hotel
13,59 Cambridge Lane,408,Estandar,Hotel
14,88623 Corben Hill,2,Semisuite,Hotel
15,610 Dixon Hill,6388,Suite,Hotel
16,9438 Springview Center,8855,Semisuite,Hotel
17,4 Sachs Plaza,4516,Suite,Hotel
18,7635 High Crossing Plaza,3938,Estandar,Hotel
19,599 Donald Way,9214,Suite,Hotel
20,752 Gateway Crossing,0,Suite,Hotel
21,1887 Oneill Trail,79,Estandar,Hotel
22,2 Mesta Plaza,48346,Estandar,Hotel
23,97 South Drive,684,Suite,Hotel
24,83 Forest Dale Junction,987,Estandar,Hotel
25,12 Donald Drive,8,Suite,Hotel
26,186 Scofield Place,0,Suite,Hotel
27,3816 Hintze Circle,3034,Semisuite,Hotel
28,4293 Portage Hill,0532,Suite,Hotel
29,6818 John Wall Street,7758,Semisuite,Hotel
30,47034 Granby Terrace,5366,Semisuite,Hotel
31,54 Ramsey Parkway,17,Estandar,Hotel
32,79 Scoville Court,123,Suite,Hotel
33,7 Towne Street,8,Suite,Hotel
34,5 Manley Park,68683,Suite,Hotel
35,530 Maywood Alley,14,Suite,Hotel
36,671 Ilene Point,89,Suite,Hotel
37,6 Menomonie Circle,543,Suite,Hotel
38,7663 Texas Parkway,436,Suite,Hotel
39,2 Delaware Center,58,Estandar,Hotel
40,92745 Longview Plaza,2,Estandar,Hotel
41,1 Declaration Crossing,01623,Suite,Hotel
42,9 Porter Terrace,5,Estandar,Hotel
43,67747 Farragut Center,7,Estandar,Hotel
44,123 Hudson Circle,16170,Estandar,Hotel
45,6 Parkside Alley,93,Suite,Hotel
46,242 Tony Point,039,Suite,Hotel
47,57 Anhalt Drive,778,Suite,Hotel
48,4205 Alpine Terrace,2,Suite,Hotel
49,18794 Ilene Terrace,9,Estandar,Hotel
50,91 Kropf Trail,1,Estandar,Hotel
51,50470 Forest Dale Trail,723,Estandar,Hotel
52,898 Wayridge Alley,71690,Semisuite,Hotel
53,85 Dixon Plaza,6376,Estandar,Hotel
54,8 Banding Terrace,8903,Suite,Hotel
55,85 Helena Way,5062,Suite,Hotel
56,848 Arrowood Circle,1803,Estandar,Hotel
57,01661 3rd Court,7660,Semisuite,Hotel
58,204 Victoria Pass,2288,Estandar,Hotel
