IDALOJAMIENTO,DIRECCION,NUMHABITACION,TIPOHABITACION,TIPOOPHAB
7761,92173 Trailsway Lane,4,Individual,PersonaNatural
7762,76086 South Trail,3,Individual,PersonaNatural
7763,21354 Bonner Lane,3,Compartida,PersonaNatural
7764,1 Corscot Center,2,Individual,PersonaNatural
7765,0942 Bobwhite Court,1,Individual,PersonaNatural
7766,86286 Reindahl Junction,3,Individual,PersonaNatural
7767,53 Carpenter Plaza,3,Individual,PersonaNatural
7768,58 Farmco Plaza,1,Individual,PersonaNatural
7769,6 Mallard Alley,1,Individual,PersonaNatural
7770,3 Kenwood Hill,1,Individual,PersonaNatural
7771,07934 Fairfield Circle,2,Compartida,PersonaNatural
7772,47285 Spenser Crossing,2,Compartida,PersonaNatural
7773,354 Waubesa Junction,1,Individual,PersonaNatural
7774,1 Kropf Circle,1,Compartida,PersonaNatural
7775,9 Upham Terrace,2,Individual,PersonaNatural
7776,2 Moland Street,1,Compartida,PersonaNatural
7777,0360 Logan Avenue,2,Compartida,PersonaNatural
7778,3 Gateway Hill,1,Compartida,PersonaNatural
7779,58564 Goodland Court,2,Individual,PersonaNatural
7780,606 Randy Trail,4,Compartida,PersonaNatural
7781,9 Corben Lane,1,Individual,PersonaNatural
7782,55813 Vidon Crossing,2,Compartida,PersonaNatural
7783,74683 Jana Road,3,Compartida,PersonaNatural
7784,712 Buell Pass,4,Compartida,PersonaNatural
7785,1 Kensington Terrace,1,Individual,PersonaNatural
7786,89954 Vernon Place,2,Individual,PersonaNatural
7787,7 Westport Parkway,4,Compartida,PersonaNatural
7788,950 Nova Street,1,Individual,PersonaNatural
7789,48 Ramsey Pass,4,Individual,PersonaNatural
7790,6 American Pass,2,Compartida,PersonaNatural
7791,26156 Lakeland Point,4,Compartida,PersonaNatural
7792,9496 Gina Terrace,4,Compartida,PersonaNatural
7793,543 Hansons Junction,3,Compartida,PersonaNatural
7794,41 Kingsford Way,3,Individual,PersonaNatural
7795,15 Randy Court,1,Compartida,PersonaNatural
7796,6 Scofield Parkway,3,Compartida,PersonaNatural
7797,17191 School Alley,3,Compartida,PersonaNatural
7798,56225 Prentice Plaza,1,Compartida,PersonaNatural
7799,139 Granby Parkway,1,Individual,PersonaNatural
7800,31850 Armistice Park,4,Individual,PersonaNatural
7801,45 Beilfuss Pass,2,Compartida,PersonaNatural
7802,47 Lakeland Trail,1,Individual,PersonaNatural
7803,9803 Kedzie Alley,4,Compartida,PersonaNatural
7804,780 Atwood Trail,3,Individual,PersonaNatural
7805,375 Lakewood Gardens Avenue,3,Compartida,PersonaNatural
7806,5 Chinook Place,2,Individual,PersonaNatural
7807,712 Park Meadow Center,3,Compartida,PersonaNatural
7808,4557 Graedel Court,4,Compartida,PersonaNatural
7809,1 Sunfield Road,3,Individual,PersonaNatural
7810,81778 Vahlen Circle,3,Individual,PersonaNatural
7811,5229 Everett Junction,2,Individual,PersonaNatural
7812,5507 Dunning Drive,3,Individual,PersonaNatural
7813,5 Kipling Drive,4,Compartida,PersonaNatural
7814,88 Kensington Avenue,3,Compartida,PersonaNatural
7815,2964 Sloan Street,2,Individual,PersonaNatural
7816,8992 Hazelcrest Drive,2,Compartida,PersonaNatural
7817,572 Sunbrook Avenue,3,Individual,PersonaNatural
7818,9825 Ridgeview Hill,1,Individual,PersonaNatural
7819,23 Raven Hill,4,Individual,PersonaNatural
7820,61447 Dawn Alley,1,Individual,PersonaNatural
7821,0 Old Shore Avenue,1,Individual,PersonaNatural
7822,10 Vahlen Street,3,Compartida,PersonaNatural
7823,18 Bayside Center,2,Compartida,PersonaNatural
7824,085 Ronald Regan Junction,2,Compartida,PersonaNatural
7825,83 Cottonwood Court,4,Individual,PersonaNatural
7826,6 Saint Paul Drive,2,Individual,PersonaNatural
7827,8023 Mallory Lane,3,Compartida,PersonaNatural
7828,66 Brown Hill,1,Individual,PersonaNatural
7829,6677 Rieder Alley,1,Compartida,PersonaNatural
7830,113 Westerfield Place,2,Individual,PersonaNatural
7831,6 Garrison Plaza,1,Individual,PersonaNatural
7832,8 Anthes Court,4,Individual,PersonaNatural
7833,80 Susan Pass,2,Compartida,PersonaNatural
7834,87789 School Hill,3,Compartida,PersonaNatural
7835,70869 Donald Point,1,Individual,PersonaNatural
7836,9 Evergreen Alley,4,Individual,PersonaNatural
7837,4804 Vahlen Road,4,Compartida,PersonaNatural
7838,192 Spaight Street,2,Individual,PersonaNatural
7839,6037 Pine View Circle,2,Individual,PersonaNatural
7840,28585 Orin Plaza,1,Compartida,PersonaNatural
7841,7 Huxley Plaza,2,Compartida,PersonaNatural
7842,234 Rowland Street,1,Individual,PersonaNatural
7843,501 Roth Crossing,4,Individual,PersonaNatural
7844,960 Iowa Street,2,Compartida,PersonaNatural
7845,422 Morrow Way,4,Compartida,PersonaNatural
7846,78 La Follette Drive,3,Compartida,PersonaNatural
7847,02 Gale Place,1,Compartida,PersonaNatural
7848,2 Spaight Parkway,2,Individual,PersonaNatural
7849,68 2nd Crossing,2,Individual,PersonaNatural
7850,9357 Carpenter Pass,4,Individual,PersonaNatural
7851,733 Brentwood Road,3,Compartida,PersonaNatural
7852,8 Anhalt Center,2,Compartida,PersonaNatural
7853,1 Kensington Center,4,Compartida,PersonaNatural
7854,5929 Granby Junction,3,Compartida,PersonaNatural
7855,28114 Mesta Alley,4,Compartida,PersonaNatural
