IDALOJAMIENTO,DIRECCION,NUMHABITACION,TIPOHABITACION,TIPOOPHAB
1761,40 Little Fleur Park,1530,Compartida,ViviendaUniv
1762,7769 Iowa Street,51415,Compartida,ViviendaUniv
1763,9 Sunfield Drive,6,Compartida,ViviendaUniv
1764,93 Arrowood Pass,13494,Compartida,ViviendaUniv
1765,02714 Norway Maple Pass,15520,Compartida,ViviendaUniv
1766,53555 Linden Plaza,214,Compartida,ViviendaUniv
1767,0 Farragut Avenue,58,Compartida,ViviendaUniv
1768,379 Annamark Street,1370,Compartida,ViviendaUniv
1769,99 Kipling Center,6940,Compartida,ViviendaUniv
1770,6 Texas Lane,20,Compartida,ViviendaUniv
1771,9316 Saint Paul Pass,8,Compartida,ViviendaUniv
1772,9862 Muir Circle,389,Compartida,ViviendaUniv
1773,883 Tennyson Park,6101,Compartida,ViviendaUniv
1774,418 Mandrake Parkway,1794,Compartida,ViviendaUniv
1775,566 Randy Crossing,42536,Compartida,ViviendaUniv
1776,6 Pankratz Parkway,537,Compartida,ViviendaUniv
1777,75976 Pawling Plaza,8172,Compartida,ViviendaUniv
1778,02952 Walton Point,72,Compartida,ViviendaUniv
1779,09536 Merrick Hill,11166,Compartida,ViviendaUniv
1780,8 Golf View Terrace,7,Compartida,ViviendaUniv
1781,84387 Cordelia Plaza,876,Compartida,ViviendaUniv
1782,44 Mallory Trail,24204,Compartida,ViviendaUniv
1783,6 Dennis Road,8,Compartida,ViviendaUniv
1784,552 Victoria Park,923,Compartida,ViviendaUniv
1785,3647 Jenifer Center,3,Compartida,ViviendaUniv
1786,53617 Sunbrook Avenue,1,Compartida,ViviendaUniv
1787,19 Northfield Center,728,Compartida,ViviendaUniv
1788,28 Arapahoe Road,150,Compartida,ViviendaUniv
1789,90274 Badeau Point,4,Compartida,ViviendaUniv
1790,90 Mockingbird Plaza,6,Compartida,ViviendaUniv
1791,889 Bartillon Avenue,04,Compartida,ViviendaUniv
1792,4 Pennsylvania Park,8,Compartida,ViviendaUniv
1793,84 Knutson Lane,605,Compartida,ViviendaUniv
1794,21 Grim Circle,400,Compartida,ViviendaUniv
1795,54541 Drewry Alley,87309,Compartida,ViviendaUniv
1796,04 Everett Point,72370,Compartida,ViviendaUniv
1797,3916 Morrow Court,823,Compartida,ViviendaUniv
1798,299 Pankratz Lane,5,Compartida,ViviendaUniv
1799,1546 Mallard Point,839,Compartida,ViviendaUniv
1800,0 Dovetail Alley,8,Compartida,ViviendaUniv
1801,45 Oak Valley Circle,82,Compartida,ViviendaUniv
1802,3906 Bultman Drive,99926,Compartida,ViviendaUniv
1803,158 Messerschmidt Center,9615,Compartida,ViviendaUniv
1804,312 Johnson Circle,192,Compartida,ViviendaUniv
1805,1380 Mcguire Circle,43,Compartida,ViviendaUniv
1806,496 Fieldstone Junction,1,Compartida,ViviendaUniv
1807,79 Huxley Drive,5,Compartida,ViviendaUniv
