NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
5101;801;94897;CC;7/02/20;47
5102;802;101759;CC;21/02/20;17
5103;803;96918;CC;18/03/20;31
5104;804;100330;CE;19/03/20;22
5105;805;98006;CE;27/03/20;48
5106;806;103406;CC;12/02/20;35
5107;807;94186;CC;29/03/20;14
5108;808;93824;CC;26/02/20;29
5109;809;100573;CC;31/03/20;7
5110;810;101398;CE;27/02/20;43
5111;811;93684;CE;21/02/20;31
5112;812;99298;CC;23/02/20;26
5113;813;96046;CE;31/03/20;2
5114;814;101136;CC;17/03/20;42
5115;815;100347;CE;16/02/20;1
5116;816;95859;CE;1/02/20;43
5117;817;94926;CC;21/02/20;33
5118;818;94921;CC;1/03/20;31
5119;819;102588;CC;15/02/20;44
5120;820;97111;CC;9/02/20;12
5121;821;101727;CC;7/02/20;19
5122;822;100837;CE;12/02/20;38
5123;823;93939;CE;19/03/20;33
5124;824;97877;CC;20/02/20;19
5125;825;97526;CC;3/03/20;19
5126;826;94036;CC;8/03/20;8
5127;827;95838;CE;22/02/20;24
5128;828;100654;CE;19/03/20;39
5129;829;99950;CE;1/02/20;40
5130;830;95096;CC;15/03/20;1
5131;831;94012;CE;24/02/20;28
5132;832;95815;TI;17/02/20;16
5133;833;102031;CC;8/03/20;7
5134;834;102150;CE;20/03/20;13
5135;835;102335;CC;4/03/20;32
5136;836;100374;CE;18/03/20;50
5137;837;94952;CC;21/02/20;24
5138;838;95552;CE;18/02/20;6
5139;839;99551;CE;4/03/20;17
5140;840;100772;CC;21/03/20;25
5141;841;100788;CC;13/03/20;33
5142;842;103230;CE;26/02/20;46
5143;843;100470;CC;23/02/20;11
5144;844;95456;CC;31/03/20;20
5145;845;93841;CC;27/02/20;30
5146;846;99974;CE;5/03/20;25
5147;847;97082;CE;8/02/20;48
5148;848;102752;CC;22/03/20;40
5149;849;94227;CC;28/02/20;21
5150;850;101023;CC;26/02/20;25
5151;851;101500;CC;8/03/20;21
5152;852;103338;CC;23/02/20;29
5153;853;96929;CC;8/03/20;48
5154;854;94294;CC;23/02/20;5
5155;855;101029;CC;4/02/20;33
5156;856;100796;CC;4/03/20;9
