NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
23101;7761;80515;CC;20/02/20;106
23102;7762;78105;CC;26/03/20;73
23103;7763;79073;CC;8/02/20;51
23104;7764;79640;CC;13/03/20;99
23105;7765;77060;CC;21/02/20;81
23106;7766;78968;CC;31/03/20;48
23107;7767;73226;CC;5/03/20;74
23108;7768;80210;CC;11/02/20;69
23109;7769;77035;CC;5/03/20;32
23110;7770;80921;CC;2/02/20;112
23111;7771;78403;CC;17/02/20;111
23112;7772;81431;CC;1/03/20;45
23113;7773;80526;CC;25/02/20;110
23114;7774;80101;CC;25/02/20;92
23115;7775;76358;CC;5/02/20;64
23116;7776;81485;CC;27/03/20;54
23117;7777;78401;CC;12/03/20;75
23118;7778;73259;CC;15/02/20;88
23119;7779;78394;CC;21/03/20;111
23120;7780;77726;CC;11/03/20;54
23121;7781;76505;CC;13/02/20;104
23122;7782;76966;CC;4/03/20;69
23123;7783;72983;CC;4/03/20;33
23124;7784;74992;CC;10/02/20;100
23125;7785;79173;CC;17/03/20;108
23126;7786;81322;TI;13/03/20;43
23127;7787;73117;CC;13/03/20;46
23128;7788;72998;CC;18/02/20;72
23129;7789;78575;CC;6/02/20;42
23130;7790;77480;CC;15/03/20;40
23131;7791;73963;CC;6/03/20;62
23132;7792;79317;CC;2/02/20;95
23133;7793;77004;CC;7/03/20;77
23134;7794;77015;CC;5/02/20;76
23135;7795;73099;CC;20/02/20;74
23136;7796;75824;CC;24/03/20;116
23137;7797;73746;CC;22/02/20;36
23138;7798;82000;CC;16/02/20;85
23139;7799;76276;CC;16/02/20;49
23140;7800;75127;CC;1/03/20;51
23141;7801;72281;CC;14/02/20;94
23142;7802;81654;CC;2/03/20;109
23143;7803;78173;CC;13/02/20;49
23144;7804;75649;CC;14/02/20;33
23145;7805;74817;TI;13/02/20;77
23146;7806;74888;CC;21/02/20;118
23147;7807;76599;TI;21/03/20;77
23148;7808;78614;CC;1/03/20;117
23149;7809;73942;CC;5/03/20;119
23150;7810;72463;CC;26/02/20;101
23151;7811;73555;CC;20/03/20;98
23152;7812;80719;CC;15/02/20;75
23153;7813;79052;CC;16/02/20;35
23154;7814;81699;CC;23/03/20;58
23155;7815;76099;CC;12/02/20;60
23156;7816;76885;CC;24/03/20;32
23157;7817;80378;CC;10/03/20;61
23158;7818;78620;CC;6/03/20;46
23159;7819;78835;CC;2/03/20;73
23160;7820;81469;CC;16/02/20;40
23161;7821;75887;CC;9/03/20;71
23162;7822;81685;CC;26/02/20;81
23163;7823;72249;CC;11/03/20;54
23164;7824;77377;CC;19/02/20;86
23165;7825;74300;CC;15/03/20;50
23166;7826;77910;CC;4/02/20;110
23167;7827;72969;CC;14/03/20;70
23168;7828;72973;CC;14/03/20;82
23169;7829;81235;CC;30/03/20;65
23170;7830;72284;CC;5/03/20;84
23171;7831;81894;CC;13/02/20;39
23172;7832;77784;CC;26/03/20;86
23173;7833;78784;CC;24/02/20;43
23174;7834;77159;TI;9/02/20;106
23175;7835;79144;CC;14/03/20;77
23176;7836;73129;CC;24/03/20;90
23177;7837;75927;CC;24/03/20;109
23178;7838;77968;TI;23/03/20;62
23179;7839;76843;CC;22/03/20;35
23180;7840;79887;CC;22/03/20;99
23181;7841;73541;CC;3/03/20;104
23182;7842;78872;CC;26/02/20;76
23183;7843;80944;CC;1/02/20;76
23184;7844;81458;CC;9/02/20;47
23185;7845;74312;CC;2/02/20;57
23186;7846;76209;CC;21/03/20;73
23187;7847;80142;CC;16/03/20;106
23188;7848;76250;CC;3/03/20;57
23189;7849;72302;CC;28/03/20;34
23190;7850;76056;CC;18/02/20;77
23191;7851;72607;CC;6/03/20;57
23192;7852;81189;CC;28/02/20;63
23193;7853;72173;CC;17/03/20;84
23194;7854;79072;CC;28/02/20;49
23195;7855;78417;CC;2/02/20;57
23196;7856;73179;CC;16/02/20;58
23197;7857;78065;CC;7/03/20;86
23198;7858;79443;CC;25/02/20;79
23199;7859;77112;CC;31/03/20;56
23200;7860;80055;CC;17/03/20;101
23201;7861;78924;CC;26/03/20;115
23202;7862;72258;CC;12/02/20;34
23203;7863;74966;CC;18/03/20;112
23204;7864;72097;CC;8/03/20;113
23205;7865;73480;CC;5/03/20;35
23206;7866;76638;CC;23/03/20;63
23207;7867;72357;CC;16/02/20;93
23208;7868;74349;CC;28/02/20;73
23209;7869;72730;CC;15/03/20;60
23210;7870;77132;CC;6/03/20;83
23211;7871;82041;TI;13/03/20;83
23212;7872;73067;CC;22/03/20;44
23213;7873;76656;CC;5/02/20;53
23214;7874;76466;CC;18/03/20;96
23215;7875;75062;CC;26/02/20;118
23216;7876;77378;CC;23/03/20;40
23217;7877;73661;CC;31/03/20;64
