NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
27601;7761;80515;CC;20/02/20;106
27602;7762;78105;CC;26/03/20;73
27603;7763;79073;CC;8/02/20;51
27604;7764;79640;CC;13/03/20;99
27605;7765;77060;CC;21/02/20;81
27606;7766;78968;CC;31/03/20;48
27607;7767;73226;CC;5/03/20;74
27608;7768;80210;CC;11/02/20;69
27609;7769;77035;CC;5/03/20;32
27610;7770;80921;CC;2/02/20;112
27611;7771;78403;CC;17/02/20;111
27612;7772;81431;CC;1/03/20;45
27613;7773;80526;CC;25/02/20;110
27614;7774;80101;CC;25/02/20;92
27615;7775;76358;CC;5/02/20;64
27616;7776;81485;CC;27/03/20;54
27617;7777;78401;CC;12/03/20;75
27618;7778;73259;CC;15/02/20;88
27619;7779;78394;CC;21/03/20;111
27620;7780;77726;CC;11/03/20;54
27621;7781;76505;CC;13/02/20;104
27622;7782;76966;CC;4/03/20;69
27623;7783;72983;CC;4/03/20;33
27624;7784;74992;CC;10/02/20;100
27625;7785;79173;CC;17/03/20;108
27626;7786;81322;TI;13/03/20;43
27627;7787;73117;CC;13/03/20;46
27628;7788;72998;CC;18/02/20;72
27629;7789;78575;CC;6/02/20;42
27630;7790;77480;CC;15/03/20;40
27631;7791;73963;CC;6/03/20;62
27632;7792;79317;CC;2/02/20;95
27633;7793;77004;CC;7/03/20;77
27634;7794;77015;CC;5/02/20;76
27635;7795;73099;CC;20/02/20;74
27636;7796;75824;CC;24/03/20;116
27637;7797;73746;CC;22/02/20;36
27638;7798;82000;CC;16/02/20;85
27639;7799;76276;CC;16/02/20;49
27640;7800;75127;CC;1/03/20;51
27641;7801;72281;CC;14/02/20;94
27642;7802;81654;CC;2/03/20;109
27643;7803;78173;CC;13/02/20;49
27644;7804;75649;CC;14/02/20;33
27645;7805;74817;TI;13/02/20;77
27646;7806;74888;CC;21/02/20;118
27647;7807;76599;TI;21/03/20;77
27648;7808;78614;CC;1/03/20;117
27649;7809;73942;CC;5/03/20;119
27650;7810;72463;CC;26/02/20;101
27651;7811;73555;CC;20/03/20;98
27652;7812;80719;CC;15/02/20;75
27653;7813;79052;CC;16/02/20;35
27654;7814;81699;CC;23/03/20;58
27655;7815;76099;CC;12/02/20;60
27656;7816;76885;CC;24/03/20;32
27657;7817;80378;CC;10/03/20;61
27658;7818;78620;CC;6/03/20;46
27659;7819;78835;CC;2/03/20;73
27660;7820;81469;CC;16/02/20;40
27661;7821;75887;CC;9/03/20;71
27662;7822;81685;CC;26/02/20;81
27663;7823;72249;CC;11/03/20;54
27664;7824;77377;CC;19/02/20;86
27665;7825;74300;CC;15/03/20;50
27666;7826;77910;CC;4/02/20;110
27667;7827;72969;CC;14/03/20;70
27668;7828;72973;CC;14/03/20;82
27669;7829;81235;CC;30/03/20;65
27670;7830;72284;CC;5/03/20;84
27671;7831;81894;CC;13/02/20;39
27672;7832;77784;CC;26/03/20;86
27673;7833;78784;CC;24/02/20;43
27674;7834;77159;TI;9/02/20;106
27675;7835;79144;CC;14/03/20;77
27676;7836;73129;CC;24/03/20;90
27677;7837;75927;CC;24/03/20;109
27678;7838;77968;TI;23/03/20;62
