NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
20401;4761;95175;CE;10/02/18;3
20402;4762;102392;CE;20/03/18;4
20403;4763;99826;CC;31/03/18;4
20404;4764;101035;CC;20/02/18;3
20405;4765;98900;CE;2/02/18;5
20406;4766;96236;CC;22/03/18;10
20407;4767;103047;CE;3/03/18;4
20408;4768;96482;CE;24/03/18;6
20409;4769;102630;CE;14/03/18;2
20410;4770;96313;CE;17/03/18;4
20411;4771;96047;CC;10/03/18;6
20412;4772;99054;CE;3/03/18;4
20413;4773;99819;CC;18/02/18;7
20414;4774;99168;CE;24/02/18;8
20415;4775;102721;CC;18/03/18;7
20416;4776;101413;CC;20/03/18;2
20417;4777;102037;CE;7/02/18;9
20418;4778;99046;CC;13/02/18;4
20419;4779;98530;CE;9/03/18;6
20420;4780;96693;CE;6/02/18;10
20421;4781;95923;CE;23/02/18;6
20422;4782;102030;CE;27/03/18;9
20423;4783;95256;CC;14/03/18;1
20424;4784;94344;CC;26/03/18;1
20425;4785;96219;CE;4/02/18;5
20426;4786;94275;TI;17/02/18;5
20427;4787;100584;CE;11/02/18;10
20428;4788;95274;CC;18/03/18;5
20429;4789;93991;CE;23/02/18;10
20430;4790;103224;CC;28/02/18;1
20431;4791;99324;CC;8/03/18;2
20432;4792;103243;CE;26/02/18;7
20433;4793;95185;CE;30/03/18;7
20434;4794;94126;CE;27/03/18;7
20435;4795;97751;CC;22/02/18;5
20436;4796;94776;CE;28/03/18;3
20437;4797;94970;CE;16/02/18;5
20438;4798;102658;CE;15/02/18;1
20439;4799;96700;CE;31/03/18;8
20440;4800;97817;CC;28/03/18;9
20441;4801;99382;CE;22/03/18;3
20442;4802;99170;CC;8/02/18;4
20443;4803;94998;CE;1/02/18;10
20444;4804;102885;CC;11/03/18;10
20445;4805;95672;CC;13/02/18;9
20446;4806;103094;CE;7/02/18;2
20447;4807;100136;TI;20/02/18;9
20448;4808;94055;CE;4/02/18;2
20449;4809;96683;CC;17/03/18;9
20450;4810;98405;CC;21/02/18;5
20451;4811;95371;CE;2/02/18;3
20452;4812;98482;CC;4/03/18;6
20453;4813;96227;CC;18/02/18;9
20454;4814;99602;CE;1/03/18;7
20455;4815;102366;CE;4/02/18;7
20456;4816;93830;CC;10/02/18;9
20457;4817;99895;CC;11/02/18;6
20458;4818;102483;CE;23/02/18;2
20459;4819;102938;CE;14/02/18;6
20460;4820;100436;CE;18/02/18;8
20461;4821;99820;CC;18/03/18;10
20462;4822;97951;CC;14/02/18;4
20463;4823;99389;CE;22/02/18;4
20464;4824;93725;CC;11/03/18;5
20465;4825;99795;CE;27/02/18;3
20466;4826;102394;CE;19/03/18;1
20467;4827;94410;CE;5/03/18;4
20468;4828;95984;CE;17/02/18;2
20469;4829;96917;CC;19/02/18;9
20470;4830;98779;CC;25/03/18;2
20471;4831;97701;CC;19/03/18;5
20472;4832;101532;CE;1/02/18;3
20473;4833;93756;CC;2/03/18;8
20474;4834;102983;CE;6/03/18;6
20475;4835;100831;CC;9/03/18;6
20476;4836;101013;CC;17/02/18;6
20477;4837;97333;CC;21/03/18;8
20478;4838;94348;CC;10/02/18;7
20479;4839;94026;CC;5/02/18;9
20480;4840;96555;CE;24/02/18;8
20481;4841;103017;CC;26/03/18;8
20482;4842;97974;CE;25/02/18;8
20483;4843;100775;CE;3/03/18;5
20484;4844;97170;CE;9/02/18;3
20485;4845;99171;CE;3/03/18;4
20486;4846;94208;CC;4/03/18;4
20487;4847;94699;CC;6/02/18;8
20488;4848;94366;CC;29/03/18;1
20489;4849;101581;CE;7/02/18;2
20490;4850;102043;CC;25/02/18;6
20491;4851;96430;TI;17/02/18;8
20492;4852;102013;CE;9/02/18;10
20493;4853;102945;CC;4/02/18;7
20494;4854;101359;CE;18/02/18;6
20495;4855;99776;CE;9/03/18;1
20496;4856;101100;CE;28/03/18;7
20497;4857;94203;CE;12/03/18;4
20498;4858;94687;CC;22/03/18;4
20499;4859;98443;CE;5/02/18;7
20500;4860;95413;CC;4/02/18;9
20501;4861;101947;CE;12/03/18;1
20502;4862;99891;CE;15/02/18;9
20503;4863;98566;CC;20/03/18;7
20504;4864;101526;CC;24/03/18;4
20505;4865;101791;CE;27/03/18;3
20506;4866;100212;CE;27/02/18;4
20507;4867;94148;CE;28/03/18;3
20508;4868;98249;CC;24/03/18;3
20509;4869;100717;CE;17/02/18;4
20510;4870;102633;CE;3/02/18;7
20511;4871;94737;CE;1/03/18;4
20512;4872;96202;CE;3/02/18;6
20513;4873;101084;CC;13/02/18;7
20514;4874;94091;CC;17/03/18;3
20515;4875;98692;CC;7/02/18;10
20516;4876;98106;CC;2/02/18;1
20517;4877;94341;CE;8/02/18;9
20518;4878;100896;CE;19/03/18;8
20519;4879;100086;CE;12/02/18;6
20520;4880;100502;CC;11/02/18;10
20521;4881;96983;CC;17/02/18;2
20522;4882;94254;CE;7/03/18;10
20523;4883;101624;CE;12/03/18;2
20524;4884;96547;CE;2/02/18;10
20525;4885;93894;CE;19/03/18;4
20526;4886;103182;CE;5/02/18;7
20527;4887;100836;CC;7/02/18;7
20528;4888;94575;CE;22/02/18;5
20529;4889;103430;CC;20/02/18;1
20530;4890;98064;CE;28/03/18;2
20531;4891;94789;CC;23/02/18;8
20532;4892;102119;CC;22/03/18;8
20533;4893;93765;CE;25/03/18;6
20534;4894;101967;CC;30/03/18;7
20535;4895;100907;CE;7/02/18;8
20536;4896;95584;CC;31/03/18;8
20537;4897;103311;CC;12/03/18;1
20538;4898;93818;CC;27/03/18;9
20539;4899;97437;CE;2/02/18;5
20540;4900;99376;TI;12/02/18;4
20541;4901;95376;CC;24/03/18;2
20542;4902;101119;CE;21/02/18;2
20543;4903;96007;CC;2/02/18;3
20544;4904;96750;CC;7/02/18;7
20545;4905;102182;CE;1/02/18;8
20546;4906;98143;CC;3/02/18;10
20547;4907;97858;CE;10/03/18;2
20548;4908;95294;CC;17/03/18;4
20549;4909;96373;CE;13/03/18;10
20550;4910;95707;CE;26/02/18;2
20551;4911;102397;CE;20/02/18;6
20552;4912;96285;CC;25/03/18;7
