NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
1;1;97926;CE;9/02/18;1
2;2;98381;CE;5/03/18;5
3;3;95408;CC;6/02/18;6
4;4;96448;CE;17/03/18;4
5;5;98999;CE;16/03/18;3
6;6;100065;CE;2/03/18;2
7;7;102077;CE;11/02/18;7
8;8;98267;CC;24/03/18;1
9;9;97088;CC;21/03/18;1
10;10;96173;CC;6/02/18;2
11;11;95994;CC;7/02/18;5
12;12;100319;CC;26/02/18;1
13;13;94849;CE;24/02/18;6
14;14;94846;CE;21/02/18;5
15;15;96887;CC;26/02/18;5
16;16;96844;CE;23/02/18;1
17;17;93737;CE;30/03/18;7
18;18;93940;CC;1/03/18;3
19;19;99942;CC;11/03/18;7
20;20;101365;CC;18/02/18;4
21;21;95632;CC;28/02/18;2
22;22;98746;CE;18/02/18;7
23;23;96515;CE;21/03/18;7
24;24;99444;CE;26/02/18;1
25;25;103369;CE;31/03/18;1
26;26;93496;CE;6/03/18;7
27;27;97385;CE;9/02/18;2
28;28;95883;CE;9/03/18;3
29;29;93536;CC;7/03/18;1
30;30;95661;CE;7/02/18;7
31;31;101515;CE;25/03/18;5
32;32;93589;CE;28/02/18;4
33;33;95402;CC;17/03/18;6
34;34;98118;CE;6/02/18;5
35;35;94124;CE;4/03/18;4
36;36;95687;CE;7/02/18;4
37;37;100264;CC;23/03/18;4
38;38;94484;CC;25/03/18;5
39;39;101953;CE;26/02/18;2
40;40;93916;CE;13/02/18;7
41;41;97232;CE;24/02/18;6
42;42;100972;CE;27/03/18;5
43;43;95934;CE;10/03/18;3
44;44;94889;CC;31/03/18;4
45;45;95924;CC;18/02/18;5
46;46;100528;CE;16/02/18;6
47;47;96245;CE;5/02/18;1
48;48;97930;CE;22/02/18;6
49;49;95065;CC;30/03/18;2
50;50;98793;CE;13/02/18;4
51;51;95582;CE;27/02/18;7
52;52;101484;CC;22/02/18;2
53;53;103133;CE;3/02/18;3
54;54;103093;CC;21/03/18;2
55;55;100467;CE;12/02/18;2
56;56;102877;CC;21/03/18;2
57;57;99231;CE;13/03/18;2
58;58;100566;CE;7/02/18;6
59;59;100723;CE;23/02/18;4
60;60;94478;CC;29/03/18;6
61;61;101041;CE;12/02/18;3
62;62;99787;CE;14/02/18;4
63;63;102425;CE;10/03/18;7
64;64;98012;CC;1/03/18;6
65;65;96588;CC;17/02/18;5
66;66;97803;CE;23/02/18;5
67;67;100561;CE;23/03/18;2
68;68;99905;CC;10/02/18;3
69;69;94034;CE;15/02/18;4
70;70;93751;CE;23/03/18;2
71;71;101175;CE;1/02/18;6
72;72;101506;CC;25/02/18;3
73;73;96071;CC;30/03/18;2
74;74;93757;CC;28/02/18;7
75;75;97746;CC;3/02/18;3
76;76;93600;CC;21/02/18;3
77;77;95121;CC;27/03/18;6
78;78;94305;TI;24/02/18;2
79;79;93936;CE;15/02/18;2
80;80;102320;CE;15/02/18;6
81;81;93946;CC;20/03/18;4
82;82;103408;CC;1/03/18;6
83;83;100368;CC;20/02/18;6
84;84;102640;CC;29/03/18;7
85;85;97915;CC;7/03/18;5
86;86;96078;CC;18/03/18;6
87;87;101054;CE;5/03/18;5
88;88;96626;CC;13/02/18;1
89;89;99846;CE;22/02/18;5
90;90;96275;TI;24/02/18;1
91;91;96585;CC;13/02/18;3
92;92;94031;CE;22/02/18;1
93;93;98377;CC;20/02/18;3
94;94;102051;CE;20/03/18;3
95;95;93969;CE;29/03/18;5
96;96;102942;CC;5/02/18;1
97;97;99439;CE;2/02/18;3
98;98;102369;CC;23/03/18;7
99;99;98820;CE;29/03/18;1
100;100;98402;CC;4/03/18;7
101;101;96350;CE;19/03/18;7
102;102;99637;CC;18/02/18;1
103;103;100317;CE;2/02/18;4
104;104;103206;CE;21/02/18;6
105;105;96852;CE;1/03/18;5
106;106;95407;CE;15/02/18;4
107;107;99809;CE;22/02/18;6
108;108;99911;CE;7/03/18;7
109;109;93471;CC;19/02/18;6
110;110;100739;CE;7/03/18;5
111;111;99910;CC;24/03/18;2
112;112;95240;CE;14/02/18;2
113;113;99255;CC;7/03/18;4
114;114;97077;CC;15/03/18;5
115;115;101047;CE;2/02/18;3
116;116;96251;CE;6/03/18;2
117;117;99945;CE;23/02/18;4
118;118;94942;CE;1/02/18;4
119;119;96559;TI;16/03/18;1
120;120;95546;CC;2/03/18;1
121;121;101238;CC;23/02/18;5
122;122;101875;CE;16/02/18;6
123;123;98422;CC;7/03/18;2
124;124;97441;CC;2/03/18;3
125;125;94296;TI;4/03/18;2
126;126;97535;CC;1/03/18;7
127;127;97593;CE;12/02/18;1
128;128;98882;CC;1/03/18;3
129;129;101732;CC;13/03/18;4
130;130;100714;CC;1/03/18;1
131;131;96428;CC;9/03/18;5
132;132;95690;CE;27/02/18;6
133;133;103051;CE;1/03/18;4
134;134;97217;CE;27/02/18;2
135;135;100615;CE;27/02/18;5
136;136;101805;CC;10/02/18;2
137;137;103170;CE;31/03/18;7
138;138;99057;CC;28/02/18;2
139;139;96969;CC;29/03/18;1
140;140;98122;CE;14/03/18;4
141;141;94828;CC;21/02/18;1
142;142;97569;CC;8/02/18;4
143;143;101653;CC;20/02/18;1
144;144;95782;CE;4/02/18;1
145;145;100683;CE;11/03/18;7
146;146;98644;CE;22/02/18;4
147;147;95451;CC;28/02/18;4
148;148;95665;CC;31/03/18;4
149;149;96255;CC;29/03/18;3
150;150;96209;CC;27/02/18;7
151;151;94074;CC;28/03/18;1
152;152;96952;TI;25/02/18;7
153;153;94082;CE;18/02/18;6
154;154;101744;CC;30/03/18;7
155;155;97414;CE;25/03/18;1
156;156;98029;CE;9/02/18;2
157;157;99178;CE;14/03/18;4
158;158;95525;CC;21/02/18;7
159;159;95471;CC;27/02/18;4
160;160;102611;CC;11/03/18;4
161;161;96247;CE;30/03/18;2
162;162;93554;CC;1/02/18;4
163;163;98259;CE;8/02/18;2
164;164;95158;CE;9/02/18;5
165;165;97276;CC;3/03/18;2
166;166;95088;CC;24/03/18;4
167;167;100292;CE;26/02/18;5
168;168;103130;CE;15/02/18;3
169;169;100536;CC;23/02/18;1
170;170;98004;CE;7/03/18;5
171;171;98734;CC;7/03/18;7
172;172;101266;CC;24/02/18;6
173;173;97801;CC;21/02/18;4
174;174;100758;CC;15/02/18;4
175;175;94349;CE;24/03/18;5
176;176;101199;CC;14/02/18;5
177;177;100131;CE;13/03/18;7
178;178;100902;CC;1/02/18;5
179;179;100161;CC;18/02/18;2
180;180;102932;CE;25/03/18;2
181;181;99915;CE;26/02/18;7
182;182;100744;CC;5/03/18;5
183;183;101154;CC;28/02/18;3
184;184;97601;CC;8/03/18;7
185;185;95220;CE;10/03/18;3
186;186;94467;CE;21/02/18;2
187;187;101151;CE;18/02/18;5
188;188;93645;CC;9/03/18;7
189;189;99590;CE;22/02/18;3
190;190;101221;CC;3/03/18;6
191;191;100198;CC;23/03/18;5
192;192;99068;CE;1/02/18;2
193;193;98841;CE;15/02/18;2
194;194;96141;CE;16/02/18;3
195;195;102702;CC;28/03/18;5
196;196;100042;CC;20/03/18;4
197;197;97507;CC;25/03/18;2
198;198;101176;CE;2/03/18;4
199;199;103174;CC;5/02/18;6
200;200;101541;CC;22/03/18;6
201;1;97926;CE;17/02/19;4
202;2;98381;CE;28/03/19;6
203;3;95408;CC;20/02/19;2
204;4;96448;CE;27/02/19;1
205;5;98999;CE;7/02/19;6
206;6;100065;CE;25/02/19;4
207;7;102077;CE;11/02/19;1
208;8;98267;CC;11/03/19;1
209;9;97088;CC;15/02/19;5
210;10;96173;CC;16/02/19;5
211;11;95994;CC;17/03/19;7
212;12;100319;CC;11/03/19;1
213;13;94849;CE;3/02/19;7
214;14;94846;CE;23/03/19;3
215;15;96887;CC;3/02/19;6
216;16;96844;CE;26/02/19;4
217;17;93737;CE;12/03/19;6
218;18;93940;CC;26/03/19;2
219;19;99942;CC;27/02/19;6
220;20;101365;CC;6/02/19;1
221;21;95632;CC;23/02/19;3
222;22;98746;CE;5/02/19;2
223;23;96515;CE;19/02/19;7
224;24;99444;CE;7/02/19;5
225;25;103369;CE;15/02/19;4
226;26;93496;CE;12/02/19;2
227;27;97385;CE;28/03/19;2
228;28;95883;CE;13/03/19;2
229;29;93536;CC;25/03/19;1
230;30;95661;CE;29/03/19;7
231;31;101515;CE;25/02/19;5
232;32;93589;CE;19/02/19;7
233;33;95402;CC;28/02/19;4
234;34;98118;CE;4/02/19;1
235;35;94124;CE;16/02/19;4
236;36;95687;CE;26/02/19;5
