ID;IDALOJAMIENTO;DESCRIPCION;NOMBRE;PRECIO;TOMASERVICIO
68561;10261;cuenta con sillas, sala y comedor;amoblado;0;Y
68562;10261;Se indica si tiene que pagar los servicios publicos;Servicios publicos;13707;N
68563;10261;Si cuenta con televisor;TV;0;N
68564;10261;Se indica si hay internet;internet;42313;Y
68565;10262;cuenta con sillas, sala y comedor;amoblado;0;Y
68566;10262;Se indica si tiene que pagar los servicios publicos;Servicios publicos;11514;N
68567;10262;Si cuenta con televisor;TV;0;N
68568;10262;Se indica si hay internet;internet;31692;Y
68569;10263;cuenta con sillas, sala y comedor;amoblado;0;N
68570;10263;Se indica si tiene que pagar los servicios publicos;Servicios publicos;12044;Y
68571;10263;Si cuenta con televisor;TV;0;Y
68572;10263;Se indica si hay internet;internet;46447;Y
68573;10264;cuenta con sillas, sala y comedor;amoblado;0;N
68574;10264;Se indica si tiene que pagar los servicios publicos;Servicios publicos;19377;Y
68575;10264;Si cuenta con televisor;TV;0;Y
68576;10264;Se indica si hay internet;internet;40273;N
68577;10265;cuenta con sillas, sala y comedor;amoblado;0;N
68578;10265;Se indica si tiene que pagar los servicios publicos;Servicios publicos;16541;N
68579;10265;Si cuenta con televisor;TV;0;N
68580;10265;Se indica si hay internet;internet;46394;N
68581;10266;cuenta con sillas, sala y comedor;amoblado;0;Y
68582;10266;Se indica si tiene que pagar los servicios publicos;Servicios publicos;10970;N
68583;10266;Si cuenta con televisor;TV;0;N
68584;10266;Se indica si hay internet;internet;41520;N
68585;10267;cuenta con sillas, sala y comedor;amoblado;0;N
68586;10267;Se indica si tiene que pagar los servicios publicos;Servicios publicos;16212;N
68587;10267;Si cuenta con televisor;TV;0;N
68588;10267;Se indica si hay internet;internet;48413;N
68589;10268;cuenta con sillas, sala y comedor;amoblado;0;Y
68590;10268;Se indica si tiene que pagar los servicios publicos;Servicios publicos;10406;Y
68591;10268;Si cuenta con televisor;TV;0;Y
68592;10268;Se indica si hay internet;internet;47692;N
68593;10269;cuenta con sillas, sala y comedor;amoblado;0;N
68594;10269;Se indica si tiene que pagar los servicios publicos;Servicios publicos;12704;N
68595;10269;Si cuenta con televisor;TV;0;N
68596;10269;Se indica si hay internet;internet;30788;Y
68597;10270;cuenta con sillas, sala y comedor;amoblado;0;Y
68598;10270;Se indica si tiene que pagar los servicios publicos;Servicios publicos;19686;Y
68599;10270;Si cuenta con televisor;TV;0;N
68600;10270;Se indica si hay internet;internet;46594;Y
68601;10271;cuenta con sillas, sala y comedor;amoblado;0;Y
68602;10271;Se indica si tiene que pagar los servicios publicos;Servicios publicos;19160;Y
68603;10271;Si cuenta con televisor;TV;0;Y
68604;10271;Se indica si hay internet;internet;30042;Y
68605;10272;cuenta con sillas, sala y comedor;amoblado;0;Y
68606;10272;Se indica si tiene que pagar los servicios publicos;Servicios publicos;11897;Y
68607;10272;Si cuenta con televisor;TV;0;Y
68608;10272;Se indica si hay internet;internet;37918;Y
68609;10273;cuenta con sillas, sala y comedor;amoblado;0;Y
68610;10273;Se indica si tiene que pagar los servicios publicos;Servicios publicos;18982;N
68611;10273;Si cuenta con televisor;TV;0;Y
68612;10273;Se indica si hay internet;internet;37224;Y
68613;10274;cuenta con sillas, sala y comedor;amoblado;0;N
68614;10274;Se indica si tiene que pagar los servicios publicos;Servicios publicos;15375;N
68615;10274;Si cuenta con televisor;TV;0;N
68616;10274;Se indica si hay internet;internet;35739;Y
