ID;IDALOJAMIENTO;DESCRIPCION;NOMBRE;PRECIO;TOMASERVICIO
8801;801;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8802;801;Se debe usar gorro;Piscina;0;Y
8803;801;platos a la crata Y menu;restaurante;0;Y
8804;801;para un carro por habitación;Parqueadero;0;Y
8805;801;Acceso a wifi;Wifi;0;Y
8806;801;acceso a television direct TV;TVcable;0;N
8807;802;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8808;802;Se debe usar gorro;Piscina;0;Y
8809;802;platos a la crata Y menu;restaurante;0;Y
8810;802;para un carro por habitación;Parqueadero;0;Y
8811;802;Acceso a wifi;Wifi;0;Y
8812;802;acceso a television direct TV;TVcable;0;N
8813;803;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8814;803;Se debe usar gorro;Piscina;0;Y
8815;803;platos a la crata Y menu;restaurante;0;Y
8816;803;para un carro por habitación;Parqueadero;0;Y
8817;803;Acceso a wifi;Wifi;0;Y
8818;803;acceso a television direct TV;TVcable;0;N
8819;804;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8820;804;Se debe usar gorro;Piscina;0;Y
8821;804;platos a la crata Y menu;restaurante;0;Y
8822;804;para un carro por habitación;Parqueadero;0;Y
8823;804;Acceso a wifi;Wifi;0;Y
8824;804;acceso a television direct TV;TVcable;0;N
8825;805;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8826;805;Se debe usar gorro;Piscina;0;Y
8827;805;platos a la crata Y menu;restaurante;0;Y
8828;805;para un carro por habitación;Parqueadero;0;Y
8829;805;Acceso a wifi;Wifi;0;Y
8830;805;acceso a television direct TV;TVcable;0;N
8831;806;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8832;806;Se debe usar gorro;Piscina;0;Y
8833;806;platos a la crata Y menu;restaurante;0;Y
8834;806;para un carro por habitación;Parqueadero;0;Y
8835;806;Acceso a wifi;Wifi;0;Y
8836;806;acceso a television direct TV;TVcable;0;N
8837;807;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8838;807;Se debe usar gorro;Piscina;0;Y
8839;807;platos a la crata Y menu;restaurante;0;Y
8840;807;para un carro por habitación;Parqueadero;0;Y
8841;807;Acceso a wifi;Wifi;0;Y
8842;807;acceso a television direct TV;TVcable;0;N
8843;808;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8844;808;Se debe usar gorro;Piscina;0;Y
8845;808;platos a la crata Y menu;restaurante;0;Y
8846;808;para un carro por habitación;Parqueadero;0;Y
8847;808;Acceso a wifi;Wifi;0;Y
8848;808;acceso a television direct TV;TVcable;0;N
8849;809;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8850;809;Se debe usar gorro;Piscina;0;Y
8851;809;platos a la crata Y menu;restaurante;0;Y
8852;809;para un carro por habitación;Parqueadero;0;Y
8853;809;Acceso a wifi;Wifi;0;Y
8854;809;acceso a television direct TV;TVcable;0;N
8855;810;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8856;810;Se debe usar gorro;Piscina;0;Y
8857;810;platos a la crata Y menu;restaurante;0;Y
8858;810;para un carro por habitación;Parqueadero;0;Y
8859;810;Acceso a wifi;Wifi;0;Y
8860;810;acceso a television direct TV;TVcable;0;N
8861;811;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8862;811;Se debe usar gorro;Piscina;0;Y
8863;811;platos a la crata Y menu;restaurante;0;Y
8864;811;para un carro por habitación;Parqueadero;0;Y
8865;811;Acceso a wifi;Wifi;0;Y
8866;811;acceso a television direct TV;TVcable;0;N
8867;812;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8868;812;Se debe usar gorro;Piscina;0;Y
8869;812;platos a la crata Y menu;restaurante;0;Y
8870;812;para un carro por habitación;Parqueadero;0;Y
8871;812;Acceso a wifi;Wifi;0;Y
8872;812;acceso a television direct TV;TVcable;0;N
8873;813;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8874;813;Se debe usar gorro;Piscina;0;Y
8875;813;platos a la crata Y menu;restaurante;0;Y
8876;813;para un carro por habitación;Parqueadero;0;Y
8877;813;Acceso a wifi;Wifi;0;Y
8878;813;acceso a television direct TV;TVcable;0;N
8879;814;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8880;814;Se debe usar gorro;Piscina;0;Y
8881;814;platos a la crata Y menu;restaurante;0;Y
8882;814;para un carro por habitación;Parqueadero;0;Y
8883;814;Acceso a wifi;Wifi;0;Y
8884;814;acceso a television direct TV;TVcable;0;N
8885;815;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8886;815;Se debe usar gorro;Piscina;0;Y
8887;815;platos a la crata Y menu;restaurante;0;Y
8888;815;para un carro por habitación;Parqueadero;0;Y
8889;815;Acceso a wifi;Wifi;0;Y
8890;815;acceso a television direct TV;TVcable;0;N
8891;816;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8892;816;Se debe usar gorro;Piscina;0;Y
8893;816;platos a la crata Y menu;restaurante;0;Y
8894;816;para un carro por habitación;Parqueadero;0;Y
8895;816;Acceso a wifi;Wifi;0;Y
8896;816;acceso a television direct TV;TVcable;0;N
8897;817;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
8898;817;Se debe usar gorro;Piscina;0;Y
8899;817;platos a la crata Y menu;restaurante;0;Y
