NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS;;;;;;
33001;11561;103210;CC;9/04/18;46;;;;;;
33002;11568;98045;CE;8/04/18;41;;;;;;
33003;11626;96084;CC;8/04/18;38;;;;;;
33004;11571;99339;CE;7/04/18;53;;;;;;
33005;11598;97918;CE;7/04/18;31;;;;;;
33006;11630;101291;CC;6/04/18;54;;;;;;
33007;11634;97831;CE;6/04/18;35;;;;;;
33008;11572;98702;CE;5/04/18;35;;;;;;
33009;11583;93979;CC;4/04/18;47;;;;;;
33010;11594;94879;CE;3/04/18;31;;;;;;
33011;11642;94603;CC;3/04/18;38;;;;;;
33012;11566;101602;CE;2/04/18;55;;;;;;
33013;11574;98081;TI;1/04/18;36;;;;;;
33014;10323;77411;CC;30/03/18;32;;;;;;
33015;10342;78527;TI;30/03/18;39;;;;;;
33016;10403;81915;CC;30/03/18;44;;;;;;
33017;10433;76629;CC;30/03/18;78;;;;;;
33018;10434;75681;CC;30/03/18;86;;;;;;
33019;10484;75656;CC;30/03/18;87;;;;;;
33020;10606;73244;CC;30/03/18;47;;;;;;
33021;10678;73073;CC;30/03/18;65;;;;;;
33022;10688;77843;CC;30/03/18;65;;;;;;
33023;10695;81812;CC;30/03/18;66;;;;;;
33024;10756;73863;TI;30/03/18;76;;;;;;
33025;10760;78801;CC;30/03/18;51;;;;;;
33026;10761;74077;CC;30/03/18;80;;;;;;
33027;10850;81338;CC;30/03/18;74;;;;;;
33028;10983;73766;CC;30/03/18;56;;;;;;
33029;11015;72403;CC;30/03/18;89;;;;;;
33030;11017;76299;CC;30/03/18;90;;;;;;
33031;11139;77906;CC;30/03/18;97;;;;;;
33032;11171;82070;CC;30/03/18;65;;;;;;
33033;11228;75091;CC;30/03/18;44;;;;;;
33034;11397;73398;CC;30/03/18;89;;;;;;
33035;11403;80333;CC;30/03/18;49;;;;;;
33036;11410;77553;CC;30/03/18;68;;;;;;
33037;11436;73950;CC;30/03/18;114;;;;;;
33038;11453;79762;CC;30/03/18;44;;;;;;
33039;11516;79503;CC;30/03/18;56;;;;;;
33040;10351;80505;CC;29/03/18;60;;;;;;
33041;10353;72846;CC;29/03/18;45;;;;;;
33042;10359;79331;CC;29/03/18;58;;;;;;
33043;10378;80865;CC;29/03/18;66;;;;;;
33044;10390;75753;CC;29/03/18;65;;;;;;
33045;10456;74827;CC;29/03/18;43;;;;;;
33046;10616;75500;CC;29/03/18;34;;;;;;
33047;10694;74777;CC;29/03/18;95;;;;;;
33048;10721;73496;CC;29/03/18;35;;;;;;
33049;10749;74002;CC;29/03/18;60;;;;;;
33050;10771;74792;CC;29/03/18;74;;;;;;
33051;10773;78019;CC;29/03/18;86;;;;;;
33052;10838;81039;CC;29/03/18;104;;;;;;
33053;11037;81086;CC;29/03/18;57;;;;;;
33054;11138;75230;CC;29/03/18;110;;;;;;
33055;11239;81467;CC;29/03/18;120;;;;;;
33056;11258;74410;CC;29/03/18;97;;;;;;
33057;11283;77888;CC;29/03/18;113;;;;;;
33058;11316;74307;CC;29/03/18;31;;;;;;
33059;11411;77696;CC;29/03/18;50;;;;;;
33060;11510;75015;CC;29/03/18;71;;;;;;
