NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
15901;4761;95175;CE;10/02/18;3
15902;4762;102392;CE;20/03/18;4
15903;4763;99826;CC;31/03/18;4
15904;4764;101035;CC;20/02/18;3
15905;4765;98900;CE;2/02/18;5
15906;4766;96236;CC;22/03/18;10
15907;4767;103047;CE;3/03/18;4
15908;4768;96482;CE;24/03/18;6
15909;4769;102630;CE;14/03/18;2
15910;4770;96313;CE;17/03/18;4
15911;4771;96047;CC;10/03/18;6
15912;4772;99054;CE;3/03/18;4
15913;4773;99819;CC;18/02/18;7
15914;4774;99168;CE;24/02/18;8
15915;4775;102721;CC;18/03/18;7
15916;4776;101413;CC;20/03/18;2
15917;4777;102037;CE;7/02/18;9
15918;4778;99046;CC;13/02/18;4
15919;4779;98530;CE;9/03/18;6
15920;4780;96693;CE;6/02/18;10
15921;4781;95923;CE;23/02/18;6
15922;4782;102030;CE;27/03/18;9
15923;4783;95256;CC;14/03/18;1
15924;4784;94344;CC;26/03/18;1
15925;4785;96219;CE;4/02/18;5
15926;4786;94275;TI;17/02/18;5
15927;4787;100584;CE;11/02/18;10
15928;4788;95274;CC;18/03/18;5
15929;4789;93991;CE;23/02/18;10
15930;4790;103224;CC;28/02/18;1
15931;4791;99324;CC;8/03/18;2
15932;4792;103243;CE;26/02/18;7
15933;4793;95185;CE;30/03/18;7
15934;4794;94126;CE;27/03/18;7
15935;4795;97751;CC;22/02/18;5
15936;4796;94776;CE;28/03/18;3
15937;4797;94970;CE;16/02/18;5
15938;4798;102658;CE;15/02/18;1
15939;4799;96700;CE;31/03/18;8
15940;4800;97817;CC;28/03/18;9
15941;4801;99382;CE;22/03/18;3
15942;4802;99170;CC;8/02/18;4
15943;4803;94998;CE;1/02/18;10
15944;4804;102885;CC;11/03/18;10
15945;4805;95672;CC;13/02/18;9
15946;4806;103094;CE;7/02/18;2
15947;4807;100136;TI;20/02/18;9
15948;4808;94055;CE;4/02/18;2
15949;4809;96683;CC;17/03/18;9
15950;4810;98405;CC;21/02/18;5
15951;4811;95371;CE;2/02/18;3
15952;4812;98482;CC;4/03/18;6
15953;4813;96227;CC;18/02/18;9
15954;4814;99602;CE;1/03/18;7
15955;4815;102366;CE;4/02/18;7
15956;4816;93830;CC;10/02/18;9
15957;4817;99895;CC;11/02/18;6
15958;4818;102483;CE;23/02/18;2
15959;4819;102938;CE;14/02/18;6
15960;4820;100436;CE;18/02/18;8
15961;4821;99820;CC;18/03/18;10
15962;4822;97951;CC;14/02/18;4
15963;4823;99389;CE;22/02/18;4
15964;4824;93725;CC;11/03/18;5
15965;4825;99795;CE;27/02/18;3
15966;4826;102394;CE;19/03/18;1
15967;4827;94410;CE;5/03/18;4
15968;4828;95984;CE;17/02/18;2
15969;4829;96917;CC;19/02/18;9
15970;4830;98779;CC;25/03/18;2
15971;4831;97701;CC;19/03/18;5
15972;4832;101532;CE;1/02/18;3
15973;4833;93756;CC;2/03/18;8
15974;4834;102983;CE;6/03/18;6
15975;4835;100831;CC;9/03/18;6
15976;4836;101013;CC;17/02/18;6
15977;4837;97333;CC;21/03/18;8
15978;4838;94348;CC;10/02/18;7
15979;4839;94026;CC;5/02/18;9
15980;4840;96555;CE;24/02/18;8
15981;4841;103017;CC;26/03/18;8
15982;4842;97974;CE;25/02/18;8
15983;4843;100775;CE;3/03/18;5
15984;4844;97170;CE;9/02/18;3
15985;4845;99171;CE;3/03/18;4
15986;4846;94208;CC;4/03/18;4
15987;4847;94699;CC;6/02/18;8
15988;4848;94366;CC;29/03/18;1
15989;4849;101581;CE;7/02/18;2
15990;4850;102043;CC;25/02/18;6
15991;4851;96430;TI;17/02/18;8
15992;4852;102013;CE;9/02/18;10
15993;4853;102945;CC;4/02/18;7
15994;4854;101359;CE;18/02/18;6
15995;4855;99776;CE;9/03/18;1
15996;4856;101100;CE;28/03/18;7
15997;4857;94203;CE;12/03/18;4
15998;4858;94687;CC;22/03/18;4
15999;4859;98443;CE;5/02/18;7
16000;4860;95413;CC;4/02/18;9
16001;4861;101947;CE;12/03/18;1
16002;4862;99891;CE;15/02/18;9
