NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
9001;1761;79734;CC;1/02/18;99
9002;1762;78544;CC;3/03/18;67
9003;1763;76567;CC;22/03/18;115
9004;1764;80215;CC;26/02/18;67
9005;1765;79667;CC;14/02/18;48
9006;1766;77911;CC;26/03/18;114
9007;1767;73364;CC;21/02/18;44
9008;1768;80015;CC;26/02/18;64
9009;1769;79268;CC;1/02/18;106
9010;1770;78214;CC;10/02/18;23
9011;1771;80640;CC;17/02/18;113
9012;1772;74622;CC;7/03/18;113
9013;1773;80371;CC;29/03/18;94
9014;1774;74132;CC;5/03/18;112
9015;1775;80742;CC;29/03/18;45
9016;1776;76039;CC;21/02/18;104
9017;1777;72628;CC;19/03/18;99
9018;1778;73498;CC;4/03/18;81
9019;1779;80958;CC;30/03/18;77
9020;1780;79395;CC;7/03/18;111
9021;1781;79941;CC;3/03/18;51
9022;1782;77220;CC;14/02/18;26
9023;1783;73386;CC;28/02/18;118
9024;1784;80491;CC;29/03/18;45
9025;1785;74263;CC;17/03/18;95
9026;1786;73806;CC;2/03/18;50
9027;1787;79080;CC;8/03/18;96
9028;1788;75921;CC;10/02/18;65
9029;1789;80457;CC;19/02/18;117
9030;1790;74093;CC;28/02/18;71
9031;1791;77240;CC;3/02/18;104
9032;1792;77593;CC;19/03/18;70
9033;1793;77110;CC;14/03/18;69
9034;1794;77555;CC;3/02/18;28
9035;1795;78638;CC;5/03/18;52
9036;1796;80311;TI;3/03/18;68
9037;1797;73615;CC;26/02/18;41
9038;1798;78710;CC;3/02/18;114
9039;1799;74609;CC;24/03/18;75
9040;1800;80796;CC;29/03/18;28
9041;1801;77152;CC;4/02/18;27
9042;1802;75810;CC;24/02/18;49
9043;1803;72294;CC;15/02/18;38
9044;1804;72719;CC;23/02/18;54
9045;1805;80461;CC;12/02/18;25
9046;1806;79422;CC;6/03/18;110
9047;1807;73040;TI;14/03/18;58
9048;1808;73457;CC;19/02/18;38
9049;1809;75817;CC;15/02/18;44
9050;1810;77236;CC;22/03/18;102
9051;1811;81423;CC;20/02/18;53
9052;1812;81048;CC;20/03/18;107
9053;1813;72849;CC;16/02/18;109
9054;1814;78949;CC;19/02/18;24
9055;1815;78878;CC;17/03/18;118
9056;1816;79192;CC;4/03/18;72
9057;1817;72949;CC;8/03/18;29
