ID;IDALOJAMIENTO;DESCRIPCION;NOMBRE;PRECIO;TOMASERVICIO
1;1;Aumenta dependiendo del numero de personas', 'Capadidad del servicio;Capadidad del servicio;41627;N
2;1;Trae una bañera;Bañera;15000;N
3;1;El jacuzzi para ,mejor relajacion;Jacuzzi;40000;Y
4;1;La sala para poder conversar;Sala;10000;Y
5;1;con el obetivo de cocinar propios platos;Cocineta;40000;N
6;1;Se ofrece una recepcion de 24 horas;Recepcion;0;N
7;1;Se debe usar gorro;Piscina;0;Y
8;1;platos a la crata Y menu;restaurante;0;N
9;1;para un carro por habitación;Parqueadero;0;N
10;1;Incluye Wifi;Wifi;0;Y
11;1;Inclutye TVcable;TVcable;0;N
12;2;Aumenta dependiendo del numero de personas', 'Capadidad del servicio;Capadidad del servicio;41627;N
13;2;Trae una bañera;Bañera;15000;Y
14;2;El jacuzzi para ,mejor relajacion;Jacuzzi;40000;Y
15;2;La sala para poder conversar;Sala;10000;Y
16;2;con el obetivo de cocinar propios platos;Cocineta;40000;N
17;2;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
18;2;Se debe usar gorro;Piscina;0;N
19;2;platos a la crata Y menu;restaurante;0;N
20;2;para un carro por habitación;Parqueadero;0;N
21;2;Incluye Wifi;Wifi;0;N
22;2;Inclutye TVcable;TVcable;0;N
23;3;Aumenta dependiendo del numero de personas', 'Capadidad del servicio;Capadidad del servicio;41627;N
24;3;Trae una bañera;Bañera;15000;N
25;3;El jacuzzi para ,mejor relajacion;Jacuzzi;40000;Y
26;3;La sala para poder conversar;Sala;10000;N
27;3;con el obetivo de cocinar propios platos;Cocineta;40000;N
28;3;Se ofrece una recepcion de 24 horas;Recepcion;0;N
29;3;Se debe usar gorro;Piscina;0;Y
30;3;platos a la crata Y menu;restaurante;0;N
31;3;para un carro por habitación;Parqueadero;0;N
32;3;Incluye Wifi;Wifi;0;N
33;3;Inclutye TVcable;TVcable;0;N
34;4;Aumenta dependiendo del numero de personas', 'Capadidad del servicio;Capadidad del servicio;41627;Y
35;4;Trae una bañera;Bañera;15000;N
36;4;El jacuzzi para ,mejor relajacion;Jacuzzi;40000;Y
37;4;La sala para poder conversar;Sala;10000;Y
38;4;con el obetivo de cocinar propios platos;Cocineta;40000;N
39;4;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
40;4;Se debe usar gorro;Piscina;0;N
41;4;platos a la crata Y menu;restaurante;0;N
42;4;para un carro por habitación;Parqueadero;0;Y
43;4;Incluye Wifi;Wifi;0;N
44;4;Inclutye TVcable;TVcable;0;Y
45;5;Aumenta dependiendo del numero de personas', 'Capadidad del servicio;Capadidad del servicio;41627;N
46;5;Trae una bañera;Bañera;15000;Y
47;5;El jacuzzi para ,mejor relajacion;Jacuzzi;40000;Y
48;5;La sala para poder conversar;Sala;10000;N
49;5;con el obetivo de cocinar propios platos;Cocineta;40000;Y
50;5;Se ofrece una recepcion de 24 horas;Recepcion;0;N
51;5;Se debe usar gorro;Piscina;0;N
52;5;platos a la crata Y menu;restaurante;0;Y
53;5;para un carro por habitación;Parqueadero;0;N
54;5;Incluye Wifi;Wifi;0;N
55;5;Inclutye TVcable;TVcable;0;N
56;6;Aumenta dependiendo del numero de personas', 'Capadidad del servicio;Capadidad del servicio;41627;N
57;6;Trae una bañera;Bañera;15000;N
58;6;El jacuzzi para ,mejor relajacion;Jacuzzi;40000;Y
59;6;La sala para poder conversar;Sala;10000;N
60;6;con el obetivo de cocinar propios platos;Cocineta;40000;N
61;6;Se ofrece una recepcion de 24 horas;Recepcion;0;Y
62;6;Se debe usar gorro;Piscina;0;Y
63;6;platos a la crata Y menu;restaurante;0;N
