ID;IDALOJAMIENTO;DESCRIPCION;NOMBRE;PRECIO;TOMASERVICIO
53561;7761;son 3 comidas al dia;comidas;26296;N
53562;7761;depende;Acceso a la concina;0;Y
53563;7761;Sobre el baño que tendra;Baño privado;0;N
53564;7761;Sobre el baño que tendra;Baño compartido;0;Y
53565;7761;Los muebles que trae;Esquema;0;N
53566;7761;los servicios a pagar son luz, teléfono, agua, TV cable y servicio de internet;servicios;67668;Y
53567;7762;son 3 comidas al dia;comidas;28335;N
53568;7762;depende;Acceso a la concina;0;N
53569;7762;Sobre el baño que tendra;Baño privado;0;N
53570;7762;Sobre el baño que tendra;Baño compartido;0;Y
53571;7762;Los muebles que trae;Esquema;0;N
53572;7762;los servicios a pagar son luz, teléfono, agua, TV cable y servicio de internet;servicios;76517;N
53573;7763;son 3 comidas al dia;comidas;26708;N
53574;7763;depende;Acceso a la concina;0;N
53575;7763;Sobre el baño que tendra;Baño privado;0;Y
53576;7763;Sobre el baño que tendra;Baño compartido;0;N
53577;7763;Los muebles que trae;Esquema;0;Y
53578;7763;los servicios a pagar son luz, teléfono, agua, TV cable y servicio de internet;servicios;71219;Y
53579;7764;son 3 comidas al dia;comidas;27870;Y
53580;7764;depende;Acceso a la concina;0;Y
53581;7764;Sobre el baño que tendra;Baño privado;0;Y
53582;7764;Sobre el baño que tendra;Baño compartido;0;N
53583;7764;Los muebles que trae;Esquema;0;Y
53584;7764;los servicios a pagar son luz, teléfono, agua, TV cable y servicio de internet;servicios;63882;Y
53585;7765;son 3 comidas al dia;comidas;26092;Y
53586;7765;depende;Acceso a la concina;0;N
53587;7765;Sobre el baño que tendra;Baño privado;0;N
53588;7765;Sobre el baño que tendra;Baño compartido;0;Y
53589;7765;Los muebles que trae;Esquema;0;Y
53590;7765;los servicios a pagar son luz, teléfono, agua, TV cable y servicio de internet;servicios;67214;Y
53591;7766;son 3 comidas al dia;comidas;25146;Y
53592;7766;depende;Acceso a la concina;0;N
53593;7766;Sobre el baño que tendra;Baño privado;0;N
53594;7766;Sobre el baño que tendra;Baño compartido;0;Y
53595;7766;Los muebles que trae;Esquema;0;Y
53596;7766;los servicios a pagar son luz, teléfono, agua, TV cable y servicio de internet;servicios;67954;Y
53597;7767;son 3 comidas al dia;comidas;28799;Y
