ID;IDALOJAMIENTO;DESCRIPCION;NOMBRE;PRECIO;TOMASERVICIO
14561;1761;Contiene un amoblado basico;amoblado;0;Y
14562;1761;para prepara la comida;Cocineta;0;Y
14563;1761;Servicio de internet 24 horas;Internet;0;Y
14564;1761;Sintoniza direct tv;TV cable;0;Y
14565;1761;luz, teléfono, agua;Servicios publicos;0;Y
14566;1761;con seguridad ecuseguros;Porteria 24 horas;0;Y
14567;1761;dos dias a la semana;Servicio de aseo;0;Y
14568;1761;en el tercer piso ;Servicio se apoyo social;0;Y
14569;1761;se oferen calculos y fisicas;Servicio de apoyo academico;0;Y
14570;1761;se oferen lugares comodos para potenciar tu estudio;Salas de estudio;0;Y
14571;1761;ideales para tu relajación;salas de esparcimiento;0;Y
14572;1761;podras ir de 7am a 10pm;gimnasio;0;Y
14573;1761;para las 3 comidas del dia;Restaurante;20000;Y
14574;1762;Contiene un amoblado basico;amoblado;0;Y
14575;1762;para prepara la comida;Cocineta;0;Y
14576;1762;Servicio de internet 24 horas;Internet;0;Y
14577;1762;Sintoniza direct tv;TV cable;0;Y
14578;1762;luz, teléfono, agua;Servicios publicos;0;Y
14579;1762;con seguridad ecuseguros;Porteria 24 horas;0;Y
14580;1762;dos dias a la semana;Servicio de aseo;0;Y
14581;1762;en el tercer piso ;Servicio se apoyo social;0;Y
14582;1762;se oferen calculos y fisicas;Servicio de apoyo academico;0;Y
14583;1762;se oferen lugares comodos para potenciar tu estudio;Salas de estudio;0;Y
14584;1762;ideales para tu relajación;salas de esparcimiento;0;Y
14585;1762;podras ir de 7am a 10pm;gimnasio;0;Y
14586;1762;para las 3 comidas del dia;Restaurante;20000;Y
14587;1763;Contiene un amoblado basico;amoblado;0;Y
14588;1763;para prepara la comida;Cocineta;0;Y
14589;1763;Servicio de internet 24 horas;Internet;0;Y
14590;1763;Sintoniza direct tv;TV cable;0;Y
14591;1763;luz, teléfono, agua;Servicios publicos;0;Y
14592;1763;con seguridad ecuseguros;Porteria 24 horas;0;Y
14593;1763;dos dias a la semana;Servicio de aseo;0;Y
14594;1763;en el tercer piso ;Servicio se apoyo social;0;Y
14595;1763;se oferen calculos y fisicas;Servicio de apoyo academico;0;Y
14596;1763;se oferen lugares comodos para potenciar tu estudio;Salas de estudio;0;Y
14597;1763;ideales para tu relajación;salas de esparcimiento;0;Y
